invoice_no,customer_id,product_id,quantity,transaction_date,total_amount
INV00000070,CUST01969,PROD00165,10,2024-04-10,4981.5
INV00000071,CUST01998,PROD00011,6,2024-03-19,2416.44
INV00000072,CUST03125,PROD00030,5,2024-04-09,983.4
INV00000073,CUST04426,PROD00186,1,2023-10-17,169.85
INV00000074,CUST04235,PROD00198,9,2024-01-16,1949.49
INV00000075,CUST04168,PROD00115,1,2023-11-11,90.19
INV00000076,CUST02429,PROD00167,6,2023-04-05,1654.2
INV00000077,CUST04210,PROD00022,2,2024-11-11,127.68
INV00000078,CUST01372,PROD00198,9,2023-11-01,1949.49
INV00000079,CUST00061,PROD00161,4,2022-06-15,1725.4
INV00000080,CUST01747,PROD00176,2,2023-07-09,362.42
INV00000081,CUST01685,PROD00138,7,2024-12-04,3288.81
INV00000082,CUST00591,PROD00192,1,2022-11-23,201.74
INV00000083,CUST03762,PROD00184,1,2023-03-21,299.43
INV00000084,CUST00717,PROD00019,3,2022-06-30,331.89
INV00000085,CUST02064,PROD00143,10,2022-08-01,299.9
INV00000086,CUST01865,PROD00067,7,2023-12-23,682.64
INV00000087,CUST03696,PROD00162,7,2023-10-04,2866.78
INV00000088,CUST02592,PROD00005,2,2023-06-07,180.36
INV00000089,CUST04382,PROD00002,10,2022-06-25,2822.5
INV00000090,CUST00373,PROD00180,6,2022-12-16,1083.96
INV00000091,CUST04120,PROD00028,5,2023-09-30,1219.2
INV00000092,CUST04969,PROD00023,8,2023-10-01,3068.32
INV00000093,CUST03125,PROD00102,8,2022-04-13,791.68
INV00000094,CUST01281,PROD00137,3,2023-01-15,331.44
INV00000095,CUST03204,PROD00140,3,2023-08-09,1161.87
INV00000096,CUST02442,PROD00174,1,2024-02-24,456.2
INV00000097,CUST04535,PROD00143,2,2022-12-02,59.98
INV00000098,CUST00343,PROD00002,10,2024-06-09,2822.5
INV00000099,CUST03229,PROD00138,5,2022-07-26,2349.15
INV00000100,CUST01721,PROD00192,4,2024-01-20,806.96
INV00000101,CUST03381,PROD00166,9,2024-11-15,1065.96
INV00000102,CUST01167,PROD00042,4,2022-11-07,1077.88
INV00000103,CUST02071,PROD00050,3,2023-04-13,1429.41
INV00000104,CUST04648,PROD00014,9,2024-10-09,3833.82
INV00000105,CUST03779,PROD00166,5,2022-07-05,592.2
INV00000106,CUST00552,PROD00065,4,2023-03-23,510.08
INV00000107,CUST04757,PROD00125,6,2024-11-21,1138.56
INV00000108,CUST02926,PROD00033,2,2023-05-22,784.34
INV00000109,CUST02336,PROD00159,4,2023-02-28,186.92
INV00000110,CUST02604,PROD00125,6,2024-08-31,1138.56
INV00000111,CUST02505,PROD00178,3,2023-11-27,129.57
INV00000112,CUST04634,PROD00146,6,2023-10-23,2810.7
INV00000113,CUST03509,PROD00044,6,2022-08-02,1305.9
INV00000114,CUST02017,PROD00057,7,2024-09-11,2863.84
INV00000115,CUST02267,PROD00093,6,2023-03-14,2825.58
INV00000116,CUST03932,PROD00119,6,2023-09-08,2096.52
INV00000117,CUST02503,PROD00125,2,2024-07-11,379.52
INV00000118,CUST01440,PROD00166,2,2024-07-15,236.88
INV00000119,CUST02299,PROD00036,9,2024-09-25,2788.92
INV00000120,CUST01610,PROD00068,2,2024-06-09,29.6
INV00000121,CUST00618,PROD00005,1,2024-11-29,90.18
INV00000122,CUST04767,PROD00149,10,2023-10-21,1141.4
INV00000123,CUST01743,PROD00010,5,2024-01-13,268.15
INV00000124,CUST04453,PROD00139,3,2024-09-27,24.93
INV00000125,CUST02997,PROD00101,10,2023-08-02,2799.7
INV00000126,CUST02384,PROD00035,9,2024-09-24,3598.11
INV00000127,CUST04182,PROD00024,6,2023-11-26,2023.02
INV00000128,CUST04114,PROD00003,4,2024-04-09,1565.84
INV00000129,CUST01359,PROD00194,3,2024-03-11,391.23
INV00000130,CUST03656,PROD00041,10,2023-02-13,3545.7
INV00000131,CUST04636,PROD00169,8,2023-03-30,2815.44
INV00000132,CUST02940,PROD00011,8,2022-11-27,3221.92
INV00000133,CUST01899,PROD00017,6,2023-07-01,184.14
INV00000134,CUST01918,PROD00011,4,2024-10-27,1610.96
INV00000135,CUST04243,PROD00093,8,2023-05-02,3767.44
INV00000136,CUST03725,PROD00012,6,2022-12-19,392.46
INV00000137,CUST00846,PROD00181,5,2024-03-08,1076.3
INV00000138,CUST02158,PROD00149,10,2024-02-21,1141.4
INV00000139,CUST01425,PROD00097,7,2024-05-07,3420.69
INV00000140,CUST02993,PROD00151,2,2024-03-05,621.08
INV00000141,CUST04233,PROD00065,4,2023-07-02,510.08
INV00000142,CUST04231,PROD00104,6,2023-09-03,637.2
INV00000143,CUST03989,PROD00124,9,2022-03-23,3180.42
INV00000144,CUST01139,PROD00113,4,2023-03-06,305.0
INV00000145,CUST00632,PROD00132,5,2024-07-05,30.0
INV00000146,CUST01733,PROD00039,3,2022-11-01,845.1
INV00000147,CUST02968,PROD00155,2,2024-08-30,503.06
INV00000148,CUST01887,PROD00107,6,2024-07-11,1828.26
INV00000149,CUST00929,PROD00124,8,2024-10-03,2827.04
INV00000150,CUST01727,PROD00152,7,2023-01-06,2597.07
INV00000151,CUST00184,PROD00063,3,2022-04-08,1473.12
INV00000152,CUST04699,PROD00152,3,2022-09-15,1113.03
INV00000153,CUST04200,PROD00011,1,2022-10-28,402.74
INV00000154,CUST01363,PROD00067,9,2023-06-13,877.68
INV00000155,CUST03322,PROD00154,1,2024-02-01,334.17
INV00000156,CUST02323,PROD00022,8,2023-04-21,510.72
INV00000157,CUST04969,PROD00121,3,2024-04-23,151.77
INV00000158,CUST01798,PROD00106,3,2024-03-22,124.95
INV00000159,CUST04774,PROD00197,10,2023-01-15,3865.2
INV00000160,CUST04185,PROD00068,6,2022-09-25,88.8
INV00000161,CUST03715,PROD00153,4,2022-07-30,445.04
INV00000162,CUST03099,PROD00099,2,2023-03-01,552.3
INV00000163,CUST00136,PROD00052,9,2023-09-06,3962.43
INV00000164,CUST03439,PROD00039,3,2022-09-13,845.1
INV00000165,CUST03899,PROD00158,1,2024-01-10,445.58
INV00000166,CUST04354,PROD00129,2,2024-10-18,587.72
INV00000167,CUST00764,PROD00124,3,2024-01-29,1060.14
INV00000168,CUST04944,PROD00139,1,2024-09-13,8.31
INV00000169,CUST03535,PROD00134,6,2024-07-08,377.7
INV00000170,CUST00356,PROD00179,7,2023-12-04,3192.21
INV00000171,CUST01880,PROD00124,6,2024-01-04,2120.28
INV00000172,CUST04826,PROD00190,10,2024-08-29,1452.4
INV00000173,CUST00801,PROD00109,5,2022-12-25,1856.9
INV00000174,CUST03909,PROD00197,2,2023-07-28,773.04
INV00000175,CUST02321,PROD00154,7,2024-06-02,2339.19
INV00000176,CUST02112,PROD00049,1,2022-09-17,358.63
INV00000177,CUST04735,PROD00134,9,2022-08-11,566.55
INV00000178,CUST00059,PROD00097,4,2024-05-05,1954.68
INV00000179,CUST02588,PROD00105,2,2024-03-07,524.5
INV00000180,CUST01268,PROD00110,10,2024-10-10,3172.0
INV00000181,CUST02078,PROD00067,10,2024-06-18,975.2
INV00000182,CUST02996,PROD00157,7,2023-09-10,1168.23
INV00000183,CUST01669,PROD00106,3,2024-10-08,124.95
INV00000184,CUST03033,PROD00144,8,2024-06-03,2524.88
INV00000185,CUST02079,PROD00079,6,2024-04-05,1020.36
INV00000186,CUST03262,PROD00189,2,2022-11-02,498.56
INV00000187,CUST01883,PROD00115,3,2024-09-13,270.57
INV00000188,CUST00822,PROD00055,7,2023-10-25,2200.73
INV00000189,CUST02773,PROD00141,3,2022-04-28,943.44
INV00000190,CUST03188,PROD00163,2,2022-07-09,517.6
INV00000191,CUST01191,PROD00121,7,2024-04-27,354.13
INV00000192,CUST00723,PROD00017,4,2023-03-13,122.76
INV00000193,CUST03038,PROD00021,1,2024-08-18,82.88
INV00000194,CUST03149,PROD00103,9,2024-07-21,2638.62
INV00000195,CUST02347,PROD00183,1,2024-02-11,300.56
INV00000196,CUST01436,PROD00164,8,2024-04-25,1776.0
INV00000197,CUST00088,PROD00052,9,2024-08-15,3962.43
INV00000198,CUST02343,PROD00050,10,2022-05-19,4764.7
INV00000199,CUST04183,PROD00133,10,2023-07-01,911.7
INV00000200,CUST01389,PROD00173,6,2022-05-25,178.56
INV00000201,CUST01960,PROD00168,3,2022-03-17,1010.94
INV00000202,CUST00712,PROD00071,6,2024-01-19,1252.62
INV00000203,CUST03238,PROD00104,4,2023-12-30,424.8
INV00000204,CUST04242,PROD00004,2,2024-11-21,711.4
INV00000205,CUST00739,PROD00141,9,2023-09-16,2830.32
INV00000206,CUST04776,PROD00090,5,2023-09-19,1512.75
INV00000207,CUST01854,PROD00156,8,2023-03-16,2981.6
INV00000208,CUST03310,PROD00148,5,2022-02-16,2350.65
INV00000209,CUST01434,PROD00105,2,2024-01-21,524.5
INV00000210,CUST04577,PROD00019,5,2023-11-26,553.15
INV00000211,CUST02786,PROD00030,5,2024-12-17,983.4
INV00000212,CUST04407,PROD00148,8,2023-03-09,3761.04
INV00000213,CUST03090,PROD00145,4,2024-04-01,783.52
INV00000214,CUST02783,PROD00199,8,2024-04-07,856.64
INV00000215,CUST04808,PROD00008,2,2023-11-08,167.44
INV00000216,CUST02113,PROD00018,4,2023-08-03,301.48
INV00000217,CUST01884,PROD00081,6,2024-05-03,244.14
INV00000218,CUST04232,PROD00138,5,2022-12-08,2349.15
INV00000219,CUST02034,PROD00074,7,2022-07-10,3077.2
INV00000220,CUST02802,PROD00020,8,2023-02-11,2674.0
INV00000221,CUST02572,PROD00091,10,2023-01-06,4952.3
INV00000222,CUST02205,PROD00047,8,2023-04-04,509.2
INV00000223,CUST01636,PROD00061,4,2024-11-09,1871.88
INV00000224,CUST02175,PROD00053,4,2023-04-07,1621.4
INV00000225,CUST02046,PROD00159,3,2024-01-10,140.19
INV00000226,CUST00874,PROD00031,8,2022-09-14,3630.0
INV00000227,CUST00055,PROD00196,1,2024-04-16,149.29
INV00000228,CUST03951,PROD00096,6,2024-01-31,1366.86
INV00000229,CUST04034,PROD00148,5,2024-11-10,2350.65
INV00000230,CUST04021,PROD00047,9,2024-09-17,572.85
INV00000231,CUST02296,PROD00102,10,2023-05-17,989.6
INV00000232,CUST01051,PROD00014,7,2023-11-12,2981.86
INV00000233,CUST03919,PROD00139,9,2022-08-12,74.79
INV00000234,CUST02845,PROD00101,3,2024-10-05,839.91
INV00000235,CUST03746,PROD00031,9,2024-05-26,4083.75
INV00000236,CUST03769,PROD00081,1,2024-11-01,40.69
INV00000237,CUST00097,PROD00173,7,2023-05-16,208.32
INV00000238,CUST04760,PROD00026,6,2024-01-03,1661.46
INV00000239,CUST02128,PROD00048,5,2024-06-18,2404.75
INV00000240,CUST01943,PROD00069,10,2024-11-01,1983.9
INV00000241,CUST02811,PROD00094,8,2023-04-09,3662.32
INV00000242,CUST03473,PROD00054,6,2024-07-19,2041.14
INV00000243,CUST02991,PROD00103,8,2023-04-26,2345.44
INV00000244,CUST01474,PROD00147,10,2022-08-12,2732.9
INV00000245,CUST01873,PROD00026,4,2023-09-10,1107.64
INV00000246,CUST04550,PROD00111,7,2024-09-05,1939.42
INV00000247,CUST01607,PROD00038,3,2024-08-13,159.81
INV00000248,CUST03875,PROD00003,7,2023-06-29,2740.22
INV00000249,CUST04093,PROD00035,9,2024-12-26,3598.11
INV00000250,CUST04375,PROD00185,8,2023-12-07,1513.92
INV00000251,CUST02458,PROD00065,10,2023-10-21,1275.2
INV00000252,CUST00391,PROD00102,3,2022-07-26,296.88
INV00000253,CUST00492,PROD00056,5,2024-10-09,808.45
INV00000254,CUST03904,PROD00162,8,2022-06-24,3276.32
INV00000255,CUST02742,PROD00067,6,2024-02-10,585.12
INV00000256,CUST04591,PROD00143,6,2023-08-18,179.94
INV00000257,CUST00163,PROD00106,6,2022-09-07,249.9
INV00000258,CUST04961,PROD00051,10,2024-07-26,1172.3
INV00000259,CUST04411,PROD00045,5,2024-07-04,789.35
INV00000260,CUST02910,PROD00084,9,2024-06-21,4419.99
INV00000261,CUST03994,PROD00199,8,2024-11-10,856.64
INV00000262,CUST00643,PROD00098,5,2024-06-13,280.25
INV00000263,CUST03800,PROD00162,3,2022-11-13,1228.62
INV00000264,CUST02764,PROD00108,10,2024-06-27,2608.1
INV00000265,CUST04683,PROD00104,2,2023-02-04,212.4
INV00000266,CUST01328,PROD00088,6,2023-05-29,2349.54
INV00000267,CUST02596,PROD00168,5,2023-02-18,1684.9
INV00000268,CUST04960,PROD00166,5,2023-11-27,592.2
INV00000269,CUST03645,PROD00200,10,2023-09-12,4008.6
INV00000270,CUST04268,PROD00116,3,2023-06-29,1389.39
INV00000271,CUST01507,PROD00006,4,2022-12-22,1945.4
INV00000272,CUST02062,PROD00191,2,2024-10-11,788.9
INV00000273,CUST01726,PROD00043,2,2023-12-09,545.32
INV00000274,CUST00783,PROD00017,9,2024-04-14,276.21
INV00000275,CUST00441,PROD00007,7,2024-12-07,1590.12
INV00000276,CUST04293,PROD00196,2,2022-06-20,298.58
INV00000277,CUST02151,PROD00159,2,2023-02-26,93.46
INV00000278,CUST03194,PROD00080,4,2023-03-31,1361.52
INV00000279,CUST02328,PROD00114,3,2024-03-06,899.1
INV00000280,CUST01076,PROD00135,1,2023-01-30,227.3
INV00000281,CUST00288,PROD00170,6,2024-01-26,635.94
INV00000282,CUST03901,PROD00120,5,2024-03-05,1158.6
INV00000283,CUST04494,PROD00114,9,2022-12-11,2697.3
INV00000284,CUST01451,PROD00152,8,2024-06-30,2968.08
INV00000285,CUST04621,PROD00112,9,2023-10-10,3117.96
INV00000286,CUST02537,PROD00089,9,2024-04-21,3543.39
INV00000287,CUST01861,PROD00023,5,2024-03-20,1917.7
INV00000288,CUST02997,PROD00106,3,2023-09-09,124.95
INV00000289,CUST02487,PROD00003,9,2022-10-24,3523.14
INV00000290,CUST01117,PROD00089,8,2023-09-27,3149.68
INV00000291,CUST04384,PROD00003,8,2024-09-09,3131.68
INV00000292,CUST03909,PROD00077,7,2022-12-11,1268.05
INV00000293,CUST02400,PROD00153,1,2023-01-18,111.26
INV00000294,CUST04491,PROD00096,7,2023-02-10,1594.67
INV00000295,CUST04593,PROD00112,4,2024-01-21,1385.76
INV00000296,CUST01338,PROD00184,7,2024-10-07,2096.01
INV00000297,CUST03100,PROD00057,2,2023-08-10,818.24
INV00000298,CUST03459,PROD00161,9,2023-02-02,3882.15
INV00000299,CUST02228,PROD00073,9,2024-04-29,1963.08
INV00000300,CUST02203,PROD00106,2,2022-10-22,83.3
INV00000301,CUST01495,PROD00035,2,2023-03-27,799.58
INV00000302,CUST03731,PROD00159,5,2024-02-24,233.65
INV00000303,CUST04031,PROD00049,1,2023-12-04,358.63
INV00000304,CUST01247,PROD00013,9,2024-12-15,602.46
INV00000305,CUST00182,PROD00048,5,2022-09-27,2404.75
INV00000306,CUST02206,PROD00033,1,2024-07-23,392.17
INV00000307,CUST01908,PROD00024,1,2022-08-21,337.17
INV00000308,CUST04044,PROD00056,7,2023-04-23,1131.83
INV00000309,CUST02553,PROD00128,8,2024-01-04,2701.36
INV00000310,CUST00260,PROD00085,3,2022-09-21,1180.53
INV00000311,CUST00460,PROD00069,7,2024-07-04,1388.73
INV00000312,CUST00585,PROD00140,3,2023-08-25,1161.87
INV00000313,CUST01575,PROD00065,1,2024-03-18,127.52
INV00000314,CUST01000,PROD00197,4,2024-04-12,1546.08
INV00000315,CUST03153,PROD00198,4,2024-02-17,866.44
INV00000316,CUST00275,PROD00051,2,2023-07-23,234.46
INV00000317,CUST04270,PROD00171,8,2023-01-12,2629.84
INV00000318,CUST03188,PROD00175,6,2023-05-19,117.6
INV00000319,CUST01300,PROD00162,9,2023-01-30,3685.86
INV00000320,CUST04268,PROD00032,8,2023-01-16,103.6
INV00000321,CUST02448,PROD00051,1,2023-09-04,117.23
INV00000322,CUST01785,PROD00029,7,2023-02-04,1790.6
INV00000323,CUST02659,PROD00004,5,2022-09-24,1778.5
INV00000324,CUST04790,PROD00031,4,2023-10-25,1815.0
INV00000325,CUST00074,PROD00011,8,2024-07-09,3221.92
INV00000326,CUST04885,PROD00040,2,2023-04-08,506.08
INV00000327,CUST02038,PROD00041,2,2024-02-19,709.14
INV00000328,CUST02773,PROD00195,1,2022-05-14,493.89
INV00000329,CUST02913,PROD00166,9,2023-01-19,1065.96
INV00000330,CUST00880,PROD00033,4,2024-01-02,1568.68
INV00000331,CUST02595,PROD00143,6,2024-12-14,179.94
INV00000332,CUST03594,PROD00188,1,2023-04-08,194.73
INV00000333,CUST03095,PROD00092,3,2024-09-23,498.0
INV00000334,CUST02054,PROD00011,8,2024-09-28,3221.92
INV00000335,CUST04580,PROD00076,8,2023-11-19,1018.64
INV00000336,CUST01555,PROD00146,9,2023-02-21,4216.05
INV00000337,CUST02849,PROD00083,8,2024-05-24,1550.48
INV00000338,CUST02256,PROD00154,9,2024-11-09,3007.53
INV00000339,CUST01314,PROD00018,3,2024-05-30,226.11
INV00000340,CUST03682,PROD00076,5,2024-11-24,636.65
INV00000341,CUST04437,PROD00094,1,2023-07-07,457.79
INV00000342,CUST04145,PROD00098,1,2023-01-28,56.05
INV00000343,CUST02983,PROD00199,4,2024-07-23,428.32
INV00000344,CUST02628,PROD00185,9,2022-10-05,1703.16
INV00000345,CUST03175,PROD00049,8,2023-09-07,2869.04
INV00000346,CUST04518,PROD00040,6,2023-09-22,1518.24
INV00000347,CUST03358,PROD00165,2,2023-06-14,996.3
INV00000348,CUST00789,PROD00134,2,2024-08-04,125.9
INV00000349,CUST00359,PROD00034,1,2023-01-20,66.57
INV00000350,CUST01656,PROD00028,4,2024-01-30,975.36
INV00000351,CUST00809,PROD00009,7,2024-05-01,659.4
INV00000352,CUST04014,PROD00135,1,2023-08-03,227.3
INV00000353,CUST03002,PROD00057,2,2024-05-21,818.24
INV00000354,CUST00108,PROD00054,8,2024-02-19,2721.52
INV00000355,CUST00656,PROD00120,1,2024-07-19,231.72
INV00000356,CUST02957,PROD00143,7,2024-06-24,209.93
INV00000357,CUST03024,PROD00182,10,2022-06-03,1116.0
INV00000358,CUST02178,PROD00136,2,2022-06-03,616.14
INV00000359,CUST02490,PROD00020,9,2023-04-14,3008.25
INV00000360,CUST00796,PROD00026,4,2024-07-05,1107.64
INV00000361,CUST04356,PROD00099,4,2023-02-20,1104.6
INV00000362,CUST04311,PROD00169,10,2023-06-04,3519.3
INV00000363,CUST01466,PROD00143,2,2024-05-13,59.98
INV00000364,CUST04724,PROD00092,8,2024-02-29,1328.0
INV00000365,CUST03499,PROD00027,3,2022-12-20,478.29
INV00000366,CUST04506,PROD00103,6,2024-11-24,1759.08
INV00000367,CUST01296,PROD00137,8,2024-03-27,883.84
INV00000368,CUST02887,PROD00081,6,2024-06-11,244.14
INV00000369,CUST03046,PROD00106,6,2024-06-08,249.9
INV00000370,CUST04985,PROD00062,9,2024-05-21,3834.81
INV00000371,CUST01753,PROD00097,9,2024-12-28,4398.03
INV00000372,CUST02082,PROD00093,8,2024-12-23,3767.44
INV00000373,CUST03666,PROD00102,1,2022-05-21,98.96
INV00000374,CUST02331,PROD00153,9,2023-01-02,1001.34
INV00000375,CUST01107,PROD00078,5,2022-11-25,232.7
INV00000376,CUST01818,PROD00055,1,2023-08-04,314.39
INV00000377,CUST02261,PROD00142,9,2024-05-21,1709.19
INV00000378,CUST04675,PROD00147,2,2023-06-05,546.58
INV00000379,CUST00310,PROD00118,3,2023-10-11,654.12
INV00000380,CUST01134,PROD00068,10,2023-10-20,148.0
INV00000381,CUST02047,PROD00060,5,2023-04-07,799.35
INV00000382,CUST00753,PROD00147,10,2024-05-26,2732.9
INV00000383,CUST01782,PROD00188,6,2022-09-17,1168.38
INV00000384,CUST03953,PROD00045,10,2024-09-29,1578.7
INV00000385,CUST00782,PROD00153,5,2024-03-22,556.3
INV00000386,CUST00307,PROD00188,10,2024-08-31,1947.3
INV00000387,CUST03126,PROD00021,1,2024-08-09,82.88
INV00000388,CUST02740,PROD00090,7,2024-01-03,2117.85
INV00000389,CUST00988,PROD00198,10,2023-01-15,2166.1
INV00000390,CUST00094,PROD00163,7,2024-07-23,1811.6
INV00000391,CUST00444,PROD00079,6,2022-05-30,1020.36
INV00000392,CUST04424,PROD00145,6,2022-12-13,1175.28
INV00000393,CUST04116,PROD00179,3,2023-03-13,1368.09
INV00000394,CUST00414,PROD00173,7,2024-05-27,208.32
INV00000395,CUST03651,PROD00193,10,2024-07-18,2592.4
INV00000396,CUST04135,PROD00024,7,2023-04-18,2360.19
INV00000397,CUST02374,PROD00101,3,2022-11-08,839.91
INV00000398,CUST02754,PROD00022,10,2024-04-15,638.4
INV00000399,CUST00404,PROD00141,5,2023-07-07,1572.4
INV00000400,CUST00697,PROD00103,7,2024-11-07,2052.26
INV00000401,CUST01069,PROD00196,8,2023-01-27,1194.32
INV00000402,CUST04582,PROD00051,7,2024-11-11,820.61
INV00000403,CUST04681,PROD00051,10,2024-07-14,1172.3
INV00000404,CUST04295,PROD00064,2,2023-05-16,631.72
INV00000405,CUST02182,PROD00199,6,2023-08-24,642.48
INV00000406,CUST04719,PROD00023,7,2023-02-18,2684.78
INV00000407,CUST03470,PROD00094,4,2023-03-26,1831.16
INV00000408,CUST02628,PROD00089,1,2024-04-01,393.71
INV00000409,CUST02498,PROD00044,6,2024-12-22,1305.9
INV00000410,CUST03623,PROD00160,8,2022-10-27,3236.48
INV00000411,CUST00368,PROD00060,6,2023-03-15,959.22
INV00000412,CUST01278,PROD00194,2,2023-03-17,260.82
INV00000413,CUST00447,PROD00063,3,2024-04-01,1473.12
INV00000414,CUST02357,PROD00004,2,2023-04-20,711.4
INV00000415,CUST02500,PROD00116,1,2023-08-30,463.13
INV00000416,CUST02719,PROD00054,9,2024-04-15,3061.71
INV00000417,CUST01736,PROD00053,9,2023-07-23,3648.15
INV00000418,CUST03957,PROD00160,3,2024-10-21,1213.68
INV00000419,CUST00151,PROD00097,9,2024-08-02,4398.03
INV00000420,CUST00357,PROD00066,1,2022-10-24,85.59
INV00000421,CUST02327,PROD00052,10,2024-11-07,4402.7
INV00000422,CUST02223,PROD00014,1,2024-04-20,425.98
INV00000423,CUST00546,PROD00100,5,2024-08-17,2447.9
INV00000424,CUST02951,PROD00028,5,2023-01-15,1219.2
INV00000425,CUST03167,PROD00060,9,2024-04-02,1438.83
INV00000426,CUST00816,PROD00081,10,2023-12-21,406.9
INV00000427,CUST04355,PROD00023,4,2022-09-26,1534.16
INV00000428,CUST04102,PROD00118,1,2023-11-15,218.04
INV00000429,CUST00326,PROD00064,5,2024-03-10,1579.3
INV00000430,CUST02733,PROD00126,3,2024-04-26,852.03
INV00000431,CUST00151,PROD00089,6,2024-11-14,2362.26
INV00000432,CUST02912,PROD00161,4,2023-08-04,1725.4
INV00000433,CUST04107,PROD00071,1,2024-06-26,208.77
INV00000434,CUST02111,PROD00100,9,2023-01-20,4406.22
INV00000435,CUST02296,PROD00058,6,2022-12-24,1519.5
INV00000436,CUST03219,PROD00169,2,2022-08-15,703.86
INV00000437,CUST03132,PROD00134,10,2024-11-06,629.5
INV00000438,CUST01864,PROD00107,10,2023-07-13,3047.1
INV00000439,CUST01252,PROD00110,10,2023-09-29,3172.0
INV00000440,CUST02698,PROD00115,4,2022-10-28,360.76
INV00000441,CUST01136,PROD00149,4,2024-01-21,456.56
