transaction_id,invoice_no,customer_id,customer_name,country,product_id,product_name,category,quantity,transaction_date,total_amount,year,month,day,day_of_week
50094,INV00000065,CUST04449,Customer 4449,Germany,PROD00138,Product 138,Toys,2,2023-05-04,939.66,2023.0,5.0,4.0,Thursday 
50095,INV00000066,CUST02863,Customer 2863,India,PROD00057,Product 57,Clothing,6,2023-05-29,2454.72,2023.0,5.0,29.0,Monday   
50096,INV00000067,CUST02713,Customer 2713,Australia,PROD00093,Product 93,Toys,4,2023-05-04,1883.72,2023.0,5.0,4.0,Thursday 
50097,INV00000068,CUST04346,Customer 4346,France,PROD00122,Product 122,Beauty,1,2023-12-20,278.92,2023.0,12.0,20.0,Wednesday
50098,INV00000069,CUST00940,Customer 940,USA,PROD00172,Product 172,Sports,8,2024-01-06,3280.72,2024.0,1.0,6.0,Saturday 
50099,INV00000070,CUST01969,Customer 1969,Germany,PROD00165,Product 165,Toys,10,2024-04-10,4981.5,2024.0,4.0,10.0,Wednesday
50100,INV00000071,CUST01998,Customer 1998,India,PROD00011,Product 11,Sports,6,2024-03-19,2416.44,2024.0,3.0,19.0,Tuesday  
50101,INV00000072,CUST03125,Customer 3125,Canada,PROD00030,Product 30,Clothing,5,2024-04-09,983.4,2024.0,4.0,9.0,Tuesday  
50102,INV00000073,CUST04426,Customer 4426,Canada,PROD00186,Product 186,Toys,1,2023-10-17,169.85,2023.0,10.0,17.0,Tuesday  
50103,INV00000074,CUST04235,Customer 4235,Canada,PROD00198,Product 198,Books,9,2024-01-16,1949.49,2024.0,1.0,16.0,Tuesday  
50104,INV00000075,CUST04168,Customer 4168,Australia,PROD00115,Product 115,Sports,1,2023-11-11,90.19,2023.0,11.0,11.0,Saturday 
50105,INV00000076,CUST02429,Customer 2429,USA,PROD00167,Product 167,Books,6,2023-04-05,1654.2,2023.0,4.0,5.0,Wednesday
50106,INV00000077,CUST04210,Customer 4210,India,PROD00022,Product 22,Books,2,2024-11-11,127.68,2024.0,11.0,11.0,Monday   
50107,INV00000078,CUST01372,Customer 1372,Germany,PROD00198,Product 198,Books,9,2023-11-01,1949.49,2023.0,11.0,1.0,Wednesday
50108,INV00000079,CUST00061,Customer 61,Canada,PROD00161,Product 161,Electronics,4,2022-06-15,1725.4,2022.0,6.0,15.0,Wednesday
50109,INV00000080,CUST01747,Customer 1747,France,PROD00176,Product 176,Electronics,2,2023-07-09,362.42,2023.0,7.0,9.0,Sunday   
50110,INV00000081,CUST01685,Customer 1685,Germany,PROD00138,Product 138,Toys,7,2024-12-04,3288.81,2024.0,12.0,4.0,Wednesday
50111,INV00000082,CUST00591,Customer 591,Australia,PROD00192,Product 192,Clothing,1,2022-11-23,201.74,2022.0,11.0,23.0,Wednesday
50112,INV00000083,CUST03762,Customer 3762,Canada,PROD00184,Product 184,Home & Garden,1,2023-03-21,299.43,2023.0,3.0,21.0,Tuesday  
50113,INV00000084,CUST00717,Customer 717,USA,PROD00019,Product 19,Clothing,3,2022-06-30,331.89,2022.0,6.0,30.0,Thursday 
50114,INV00000085,CUST02064,Customer 2064,India,PROD00143,Product 143,Home & Garden,10,2022-08-01,299.9,2022.0,8.0,1.0,Monday   
50115,INV00000086,CUST01865,Customer 1865,Australia,PROD00067,Product 67,Clothing,7,2023-12-23,682.64,2023.0,12.0,23.0,Saturday 
50116,INV00000087,CUST03696,Customer 3696,France,PROD00162,Product 162,Beauty,7,2023-10-04,2866.78,2023.0,10.0,4.0,Wednesday
50117,INV00000088,CUST02592,Customer 2592,Canada,PROD00005,Product 5,Electronics,2,2023-06-07,180.36,2023.0,6.0,7.0,Wednesday
50118,INV00000089,CUST04382,Customer 4382,UK,PROD00002,Product 2,Home & Garden,10,2022-06-25,2822.5,2022.0,6.0,25.0,Saturday 
50119,INV00000090,CUST00373,Customer 373,India,PROD00180,Product 180,Toys,6,2022-12-16,1083.96,2022.0,12.0,16.0,Friday   
50120,INV00000091,CUST04120,Customer 4120,Australia,PROD00028,Product 28,Electronics,5,2023-09-30,1219.2,2023.0,9.0,30.0,Saturday 
50121,INV00000092,CUST04969,Customer 4969,Australia,PROD00023,Product 23,Toys,8,2023-10-01,3068.32,2023.0,10.0,1.0,Sunday   
50122,INV00000093,CUST03125,Customer 3125,Canada,PROD00102,Product 102,Home & Garden,8,2022-04-13,791.68,2022.0,4.0,13.0,Wednesday
50123,INV00000094,CUST01281,Customer 1281,India,PROD00137,Product 137,Beauty,3,2023-01-15,331.44,2023.0,1.0,15.0,Sunday   
50124,INV00000095,CUST03204,Customer 3204,Germany,PROD00140,Product 140,Books,3,2023-08-09,1161.87,2023.0,8.0,9.0,Wednesday
50125,INV00000096,CUST02442,Customer 2442,Australia,PROD00174,Product 174,Sports,1,2024-02-24,456.2,2024.0,2.0,24.0,Saturday 
50126,INV00000097,CUST04535,Customer 4535,USA,PROD00143,Product 143,Home & Garden,2,2022-12-02,59.98,2022.0,12.0,2.0,Friday   
50127,INV00000098,CUST00343,Customer 343,Germany,PROD00002,Product 2,Home & Garden,10,2024-06-09,2822.5,2024.0,6.0,9.0,Sunday   
50128,INV00000099,CUST03229,Customer 3229,UK,PROD00138,Product 138,Toys,5,2022-07-26,2349.15,2022.0,7.0,26.0,Tuesday  
50129,INV00000100,CUST01721,Customer 1721,Germany,PROD00192,Product 192,Clothing,4,2024-01-20,806.96,2024.0,1.0,20.0,Saturday 
50130,INV00000101,CUST03381,Customer 3381,France,PROD00166,Product 166,Beauty,9,2024-11-15,1065.96,2024.0,11.0,15.0,Friday   
50131,INV00000102,CUST01167,Customer 1167,France,PROD00042,Product 42,Home & Garden,4,2022-11-07,1077.88,2022.0,11.0,7.0,Monday   
50132,INV00000103,CUST02071,Customer 2071,USA,PROD00050,Product 50,Home & Garden,3,2023-04-13,1429.41,2023.0,4.0,13.0,Thursday 
50133,INV00000104,CUST04648,Customer 4648,Germany,PROD00014,Product 14,Books,9,2024-10-09,3833.82,2024.0,10.0,9.0,Wednesday
50134,INV00000105,CUST03779,Customer 3779,Canada,PROD00166,Product 166,Beauty,5,2022-07-05,592.2,2022.0,7.0,5.0,Tuesday  
50135,INV00000106,CUST00552,Customer 552,USA,PROD00065,Product 65,Books,4,2023-03-23,510.08,2023.0,3.0,23.0,Thursday 
50136,INV00000107,CUST04757,Customer 4757,UK,PROD00125,Product 125,Electronics,6,2024-11-21,1138.56,2024.0,11.0,21.0,Thursday 
50137,INV00000108,CUST02926,Customer 2926,Australia,PROD00033,Product 33,Beauty,2,2023-05-22,784.34,2023.0,5.0,22.0,Monday   
50138,INV00000109,CUST02336,Customer 2336,UK,PROD00159,Product 159,Home & Garden,4,2023-02-28,186.92,2023.0,2.0,28.0,Tuesday  
50139,INV00000110,CUST02604,Customer 2604,India,PROD00125,Product 125,Electronics,6,2024-08-31,1138.56,2024.0,8.0,31.0,Saturday 
50140,INV00000111,CUST02505,Customer 2505,UK,PROD00178,Product 178,Home & Garden,3,2023-11-27,129.57,2023.0,11.0,27.0,Monday   
50141,INV00000112,CUST04634,Customer 4634,India,PROD00146,Product 146,Toys,6,2023-10-23,2810.7,2023.0,10.0,23.0,Monday   
50142,INV00000113,CUST03509,Customer 3509,USA,PROD00044,Product 44,Home & Garden,6,2022-08-02,1305.9,2022.0,8.0,2.0,Tuesday  
50143,INV00000114,CUST02017,Customer 2017,Germany,PROD00057,Product 57,Clothing,7,2024-09-11,2863.84,2024.0,9.0,11.0,Wednesday
50144,INV00000115,CUST02267,Customer 2267,Australia,PROD00093,Product 93,Toys,6,2023-03-14,2825.58,2023.0,3.0,14.0,Tuesday  
50145,INV00000116,CUST03932,Customer 3932,Australia,PROD00119,Product 119,Sports,6,2023-09-08,2096.52,2023.0,9.0,8.0,Friday   
50146,INV00000117,CUST02503,Customer 2503,Canada,PROD00125,Product 125,Electronics,2,2024-07-11,379.52,2024.0,7.0,11.0,Thursday 
50147,INV00000118,CUST01440,Customer 1440,USA,PROD00166,Product 166,Beauty,2,2024-07-15,236.88,2024.0,7.0,15.0,Monday   
50148,INV00000119,CUST02299,Customer 2299,Australia,PROD00036,Product 36,Sports,9,2024-09-25,2788.92,2024.0,9.0,25.0,Wednesday
50149,INV00000120,CUST01610,Customer 1610,UK,PROD00068,Product 68,Books,2,2024-06-09,29.6,2024.0,6.0,9.0,Sunday   
50150,INV00000121,CUST00618,Customer 618,USA,PROD00005,Product 5,Electronics,1,2024-11-29,90.18,2024.0,11.0,29.0,Friday   
50151,INV00000122,CUST04767,Customer 4767,USA,PROD00149,Product 149,Sports,10,2023-10-21,1141.4,2023.0,10.0,21.0,Saturday 
50152,INV00000123,CUST01743,Customer 1743,Germany,PROD00010,Product 10,Books,5,2024-01-13,268.15,2024.0,1.0,13.0,Saturday 
50153,INV00000124,CUST04453,Customer 4453,USA,PROD00139,Product 139,Books,3,2024-09-27,24.93,2024.0,9.0,27.0,Friday   
50154,INV00000125,CUST02997,Customer 2997,France,PROD00101,Product 101,Books,10,2023-08-02,2799.7,2023.0,8.0,2.0,Wednesday
50155,INV00000126,CUST02384,Customer 2384,Canada,PROD00035,Product 35,Food & Beverages,9,2024-09-24,3598.11,2024.0,9.0,24.0,Tuesday  
50156,INV00000127,CUST04182,Customer 4182,Canada,PROD00024,Product 24,Clothing,6,2023-11-26,2023.02,2023.0,11.0,26.0,Sunday   
50157,INV00000128,CUST04114,Customer 4114,USA,PROD00003,Product 3,Clothing,4,2024-04-09,1565.84,2024.0,4.0,9.0,Tuesday  
50158,INV00000129,CUST01359,Customer 1359,India,PROD00194,Product 194,Electronics,3,2024-03-11,391.23,2024.0,3.0,11.0,Monday   
50159,INV00000130,CUST03656,Customer 3656,Australia,PROD00041,Product 41,Food & Beverages,10,2023-02-13,3545.7,2023.0,2.0,13.0,Monday   
50160,INV00000131,CUST04636,Customer 4636,USA,PROD00169,Product 169,Food & Beverages,8,2023-03-30,2815.44,2023.0,3.0,30.0,Thursday 
50161,INV00000132,CUST02940,Customer 2940,UK,PROD00011,Product 11,Sports,8,2022-11-27,3221.92,2022.0,11.0,27.0,Sunday   
50162,INV00000133,CUST01899,Customer 1899,India,PROD00017,Product 17,Electronics,6,2023-07-01,184.14,2023.0,7.0,1.0,Saturday 
50163,INV00000134,CUST01918,Customer 1918,India,PROD00011,Product 11,Sports,4,2024-10-27,1610.96,2024.0,10.0,27.0,Sunday   
50164,INV00000135,CUST04243,Customer 4243,Canada,PROD00093,Product 93,Toys,8,2023-05-02,3767.44,2023.0,5.0,2.0,Tuesday  
50165,INV00000136,CUST03725,Customer 3725,USA,PROD00012,Product 12,Home & Garden,6,2022-12-19,392.46,2022.0,12.0,19.0,Monday   
50166,INV00000137,CUST00846,Customer 846,USA,PROD00181,Product 181,Clothing,5,2024-03-08,1076.3,2024.0,3.0,8.0,Friday   
50167,INV00000138,CUST02158,Customer 2158,India,PROD00149,Product 149,Sports,10,2024-02-21,1141.4,2024.0,2.0,21.0,Wednesday
50168,INV00000139,CUST01425,Customer 1425,Australia,PROD00097,Product 97,Sports,7,2024-05-07,3420.69,2024.0,5.0,7.0,Tuesday  
50169,INV00000140,CUST02993,Customer 2993,USA,PROD00151,Product 151,Clothing,2,2024-03-05,621.08,2024.0,3.0,5.0,Tuesday  
50170,INV00000141,CUST04233,Customer 4233,France,PROD00065,Product 65,Books,4,2023-07-02,510.08,2023.0,7.0,2.0,Sunday   
50171,INV00000142,CUST04231,Customer 4231,India,PROD00104,Product 104,Electronics,6,2023-09-03,637.2,2023.0,9.0,3.0,Sunday   
50172,INV00000143,CUST03989,Customer 3989,France,PROD00124,Product 124,Sports,9,2022-03-23,3180.42,2022.0,3.0,23.0,Wednesday
50173,INV00000144,CUST01139,Customer 1139,France,PROD00113,Product 113,Toys,4,2023-03-06,305.0,2023.0,3.0,6.0,Monday   
50174,INV00000145,CUST00632,Customer 632,India,PROD00132,Product 132,Sports,5,2024-07-05,30.0,2024.0,7.0,5.0,Friday   
50175,INV00000146,CUST01733,Customer 1733,Germany,PROD00039,Product 39,Books,3,2022-11-01,845.1,2022.0,11.0,1.0,Tuesday  
50176,INV00000147,CUST02968,Customer 2968,UK,PROD00155,Product 155,Sports,2,2024-08-30,503.06,2024.0,8.0,30.0,Friday   
50177,INV00000148,CUST01887,Customer 1887,USA,PROD00107,Product 107,Sports,6,2024-07-11,1828.26,2024.0,7.0,11.0,Thursday 
50178,INV00000149,CUST00929,Customer 929,India,PROD00124,Product 124,Sports,8,2024-10-03,2827.04,2024.0,10.0,3.0,Thursday 
50179,INV00000150,CUST01727,Customer 1727,USA,PROD00152,Product 152,Clothing,7,2023-01-06,2597.07,2023.0,1.0,6.0,Friday   
50180,INV00000151,CUST00184,Customer 184,India,PROD00063,Product 63,Toys,3,2022-04-08,1473.12,2022.0,4.0,8.0,Friday   
50181,INV00000152,CUST04699,Customer 4699,Canada,PROD00152,Product 152,Clothing,3,2022-09-15,1113.03,2022.0,9.0,15.0,Thursday 
50182,INV00000153,CUST04200,Customer 4200,Canada,PROD00011,Product 11,Sports,1,2022-10-28,402.74,2022.0,10.0,28.0,Friday   
50183,INV00000154,CUST01363,Customer 1363,India,PROD00067,Product 67,Clothing,9,2023-06-13,877.68,2023.0,6.0,13.0,Tuesday  
50184,INV00000155,CUST03322,Customer 3322,France,PROD00154,Product 154,Beauty,1,2024-02-01,334.17,2024.0,2.0,1.0,Thursday 
50185,INV00000156,CUST02323,Customer 2323,Germany,PROD00022,Product 22,Books,8,2023-04-21,510.72,2023.0,4.0,21.0,Friday   
50186,INV00000157,CUST04969,Customer 4969,Australia,PROD00121,Product 121,Books,3,2024-04-23,151.77,2024.0,4.0,23.0,Tuesday  
50187,INV00000158,CUST01798,Customer 1798,Germany,PROD00106,Product 106,Toys,3,2024-03-22,124.95,2024.0,3.0,22.0,Friday   
50188,INV00000159,CUST04774,Customer 4774,Canada,PROD00197,Product 197,Food & Beverages,10,2023-01-15,3865.2,2023.0,1.0,15.0,Sunday   
50189,INV00000160,CUST04185,Customer 4185,France,PROD00068,Product 68,Books,6,2022-09-25,88.8,2022.0,9.0,25.0,Sunday   
50190,INV00000161,CUST03715,Customer 3715,Canada,PROD00153,Product 153,Beauty,4,2022-07-30,445.04,2022.0,7.0,30.0,Saturday 
50191,INV00000162,CUST03099,Customer 3099,UK,PROD00099,Product 99,Food & Beverages,2,2023-03-01,552.3,2023.0,3.0,1.0,Wednesday
50192,INV00000163,CUST00136,Customer 136,UK,PROD00052,Product 52,Books,9,2023-09-06,3962.43,2023.0,9.0,6.0,Wednesday
50193,INV00000164,CUST03439,Customer 3439,India,PROD00039,Product 39,Books,3,2022-09-13,845.1,2022.0,9.0,13.0,Tuesday  
50194,INV00000165,CUST03899,Customer 3899,Germany,PROD00158,Product 158,Home & Garden,1,2024-01-10,445.58,2024.0,1.0,10.0,Wednesday
50195,INV00000166,CUST04354,Customer 4354,Canada,PROD00129,Product 129,Toys,2,2024-10-18,587.72,2024.0,10.0,18.0,Friday   
50196,INV00000167,CUST00764,Customer 764,India,PROD00124,Product 124,Sports,3,2024-01-29,1060.14,2024.0,1.0,29.0,Monday   
50197,INV00000168,CUST04944,Customer 4944,USA,PROD00139,Product 139,Books,1,2024-09-13,8.31,2024.0,9.0,13.0,Friday   
50198,INV00000169,CUST03535,Customer 3535,India,PROD00134,Product 134,Home & Garden,6,2024-07-08,377.7,2024.0,7.0,8.0,Monday   
50199,INV00000170,CUST00356,Customer 356,USA,PROD00179,Product 179,Toys,7,2023-12-04,3192.21,2023.0,12.0,4.0,Monday   
50200,INV00000171,CUST01880,Customer 1880,Canada,PROD00124,Product 124,Sports,6,2024-01-04,2120.28,2024.0,1.0,4.0,Thursday 
50201,INV00000172,CUST04826,Customer 4826,USA,PROD00190,Product 190,Home & Garden,10,2024-08-29,1452.4,2024.0,8.0,29.0,Thursday 
50202,INV00000173,CUST00801,Customer 801,Australia,PROD00109,Product 109,Books,5,2022-12-25,1856.9,2022.0,12.0,25.0,Sunday   
50203,INV00000174,CUST03909,Customer 3909,USA,PROD00197,Product 197,Food & Beverages,2,2023-07-28,773.04,2023.0,7.0,28.0,Friday   
50204,INV00000175,CUST02321,Customer 2321,USA,PROD00154,Product 154,Beauty,7,2024-06-02,2339.19,2024.0,6.0,2.0,Sunday   
50205,INV00000176,CUST02112,Customer 2112,USA,PROD00049,Product 49,Home & Garden,1,2022-09-17,358.63,2022.0,9.0,17.0,Saturday 
50206,INV00000177,CUST04735,Customer 4735,Canada,PROD00134,Product 134,Home & Garden,9,2022-08-11,566.55,2022.0,8.0,11.0,Thursday 
50207,INV00000178,CUST00059,Customer 59,USA,PROD00097,Product 97,Sports,4,2024-05-05,1954.68,2024.0,5.0,5.0,Sunday   
50208,INV00000179,CUST02588,Customer 2588,Germany,PROD00105,Product 105,Electronics,2,2024-03-07,524.5,2024.0,3.0,7.0,Thursday 
50209,INV00000180,CUST01268,Customer 1268,USA,PROD00110,Product 110,Toys,10,2024-10-10,3172.0,2024.0,10.0,10.0,Thursday 
50210,INV00000181,CUST02078,Customer 2078,India,PROD00067,Product 67,Clothing,10,2024-06-18,975.2,2024.0,6.0,18.0,Tuesday  
50211,INV00000182,CUST02996,Customer 2996,India,PROD00157,Product 157,Food & Beverages,7,2023-09-10,1168.23,2023.0,9.0,10.0,Sunday   
50212,INV00000183,CUST01669,Customer 1669,India,PROD00106,Product 106,Toys,3,2024-10-08,124.95,2024.0,10.0,8.0,Tuesday  
50213,INV00000184,CUST03033,Customer 3033,USA,PROD00144,Product 144,Toys,8,2024-06-03,2524.88,2024.0,6.0,3.0,Monday   
50214,INV00000185,CUST02079,Customer 2079,India,PROD00079,Product 79,Beauty,6,2024-04-05,1020.36,2024.0,4.0,5.0,Friday   
50215,INV00000186,CUST03262,Customer 3262,Australia,PROD00189,Product 189,Electronics,2,2022-11-02,498.56,2022.0,11.0,2.0,Wednesday
50216,INV00000187,CUST01883,Customer 1883,UK,PROD00115,Product 115,Sports,3,2024-09-13,270.57,2024.0,9.0,13.0,Friday   
50217,INV00000188,CUST00822,Customer 822,India,PROD00055,Product 55,Toys,7,2023-10-25,2200.73,2023.0,10.0,25.0,Wednesday
