customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
CUST01382,421,3,4143.49,1,1,1,3,Lost
CUST04316,419,5,9354.25,1,1,2,4,Lost
CUST04514,418,7,6923.38,1,2,1,4,Lost
CUST04376,417,9,13939.68,1,2,3,6,Lost
CUST03357,417,6,6523.53,1,1,1,3,Lost
CUST02947,412,2,1808.16,1,1,1,3,Lost
CUST04372,412,4,3885.13,1,1,1,3,Lost
CUST03183,412,8,7842.69,1,2,1,4,Lost
CUST03715,406,12,14687.14,1,4,4,9,Potential Loyalists
CUST04484,405,4,3973.24,1,1,1,3,Lost
CUST03895,403,7,8505.85,1,1,1,3,Lost
CUST03333,399,6,9503.37,1,1,2,4,Lost
CUST01555,398,3,6104.26,1,1,1,3,Lost
CUST02779,397,5,9052.55,1,1,2,4,Lost
CUST00357,396,6,6591.92,1,1,1,3,Lost
CUST00878,396,10,12595.44,1,3,3,7,Potential Loyalists
CUST01420,392,10,10275.31,1,3,2,6,Lost
CUST02233,389,7,13697.31,1,1,3,5,Lost
CUST02623,387,5,5207.15,1,1,1,3,Lost
CUST04144,386,10,20298.24,1,3,5,9,Potential Loyalists
CUST00378,384,6,7945.18,1,1,1,3,Lost
CUST01078,380,10,16307.14,1,3,4,8,Potential Loyalists
CUST00784,380,7,11383.0,1,1,2,4,Lost
CUST01763,380,2,2427.19,1,1,1,3,Lost
CUST01643,375,7,10113.06,1,2,2,5,Lost
CUST03166,375,10,13098.14,1,3,3,7,Potential Loyalists
CUST03527,375,4,7055.08,1,1,1,3,Lost
CUST03336,372,7,11622.0,1,1,2,4,Lost
CUST01908,371,7,7182.11,1,2,1,4,Lost
CUST04044,370,11,15598.09,1,4,4,9,Potential Loyalists
CUST02586,368,3,7253.51,1,1,1,3,Lost
CUST04031,368,10,8952.12,1,3,2,6,Lost
CUST03012,365,11,15918.96,1,4,4,9,Potential Loyalists
CUST00104,365,10,16144.58,1,3,4,8,Potential Loyalists
CUST01800,360,6,16366.25,1,1,4,6,Lost
CUST00940,360,10,14933.38,1,3,4,8,Potential Loyalists
CUST01774,359,9,15175.44,1,3,4,8,Potential Loyalists
CUST00720,359,7,5377.3,1,2,1,4,Lost
CUST00780,357,10,8041.28,1,3,1,5,Lost
CUST03103,356,10,14267.46,1,3,3,7,Potential Loyalists
CUST04223,356,7,9607.85,1,1,2,4,Lost
CUST03711,356,10,13900.13,1,3,3,7,Potential Loyalists
CUST04430,356,5,5227.87,1,1,1,3,Lost
CUST00228,355,7,16176.12,1,1,4,6,Lost
CUST00375,354,11,17117.03,1,4,4,9,Potential Loyalists
CUST03595,353,4,3197.99,1,1,1,3,Lost
CUST01098,353,7,7007.61,1,2,1,4,Lost
CUST00316,353,3,5068.35,1,1,1,3,Lost
CUST00404,352,12,24809.19,1,4,5,10,Loyal Customers
CUST00516,352,7,9405.67,1,1,2,4,Lost
CUST04952,351,7,9805.71,1,1,2,4,Lost
CUST04339,350,9,13822.96,1,2,3,6,Lost
CUST02882,349,6,14227.67,1,1,3,5,Lost
CUST03796,349,13,16786.11,1,5,4,10,Loyal Customers
CUST02599,347,5,7511.96,1,1,1,3,Lost
CUST04048,347,9,10666.0,1,3,2,6,Lost
CUST01886,347,7,10071.06,1,2,2,5,Lost
CUST00233,345,6,6542.19,1,1,1,3,Lost
CUST01136,345,4,5004.16,1,1,1,3,Lost
CUST04481,345,7,8182.47,1,1,1,3,Lost
CUST03819,345,7,8850.61,1,1,2,4,Lost
CUST04466,344,6,10006.39,1,1,2,4,Lost
CUST03867,344,7,10720.16,1,1,2,4,Lost
CUST04722,344,6,6911.53,1,1,1,3,Lost
CUST04265,343,11,18546.16,1,4,5,10,Loyal Customers
CUST01445,342,4,3293.14,1,1,1,3,Lost
CUST03524,341,8,6669.59,1,2,1,4,Lost
CUST04471,340,7,9162.18,1,1,2,4,Lost
CUST01443,339,11,15421.35,1,4,4,9,Potential Loyalists
CUST02146,339,7,9004.57,1,1,2,4,Lost
CUST00959,339,7,8379.81,1,1,1,3,Lost
CUST03885,338,5,9511.87,1,1,2,4,Lost
CUST01083,337,4,7974.6,1,1,1,3,Lost
CUST03787,334,11,16253.43,1,3,4,8,Potential Loyalists
CUST03217,334,7,7806.08,1,1,1,3,Lost
CUST04565,333,3,4739.88,1,1,1,3,Lost
CUST01747,333,9,15935.48,1,3,4,8,Potential Loyalists
CUST03660,332,9,18420.99,1,2,5,8,Potential Loyalists
CUST03412,331,7,10641.3,1,1,2,4,Lost
CUST01367,331,7,10882.2,1,1,2,4,Lost
CUST01881,329,10,8434.84,1,3,1,5,Lost
CUST02196,327,6,8550.12,1,1,1,3,Lost
CUST00052,326,11,16294.45,1,3,4,8,Potential Loyalists
CUST00402,324,6,10575.59,1,1,2,4,Lost
CUST04333,324,6,7661.35,1,1,1,3,Lost
CUST01316,324,7,6643.14,1,1,1,3,Lost
CUST03686,322,12,24689.44,1,4,5,10,Loyal Customers
CUST01548,322,4,4796.87,1,1,1,3,Lost
CUST00282,316,3,7299.23,1,1,1,3,Lost
CUST03525,315,7,7099.03,1,2,1,4,Lost
CUST00743,315,5,7197.48,1,1,1,3,Lost
CUST03177,313,7,7947.01,1,1,1,3,Lost
CUST00302,313,3,6015.76,1,1,1,3,Lost
CUST02703,313,3,3375.12,1,1,1,3,Lost
CUST04748,313,5,5920.27,1,1,1,3,Lost
CUST04782,312,7,6517.1,1,1,1,3,Lost
CUST02406,310,10,8718.56,1,3,1,5,Lost
CUST04181,309,5,8243.39,1,1,1,3,Lost
CUST00669,309,10,9497.64,1,3,2,6,Lost
CUST01319,308,5,4371.9,1,1,1,3,Lost
CUST00037,307,9,14142.22,1,2,3,6,Lost
CUST04676,307,11,19618.23,1,4,5,10,Loyal Customers
CUST01814,307,7,9335.43,1,1,2,4,Lost
CUST04488,306,6,11209.03,1,1,2,4,Lost
CUST03761,304,4,1027.83,1,1,1,3,Lost
CUST02640,304,3,3850.04,1,1,1,3,Lost
CUST04870,304,8,13612.93,1,2,3,6,Lost
CUST02352,304,9,18965.95,1,2,5,8,Potential Loyalists
CUST02389,304,5,6627.08,1,1,1,3,Lost
CUST03208,304,5,7849.05,1,1,1,3,Lost
CUST02720,303,9,12387.96,1,3,3,7,Potential Loyalists
CUST00925,303,6,17837.32,1,1,4,6,Lost
CUST03067,302,9,11761.92,1,3,2,6,Lost
CUST00633,301,10,20376.97,1,3,5,9,Potential Loyalists
CUST03901,301,7,13384.98,1,1,3,5,Lost
CUST04824,301,6,4749.8,1,1,1,3,Lost
CUST01695,300,14,15852.04,1,5,4,10,Loyal Customers
CUST03674,300,6,8265.8,1,1,1,3,Lost
CUST02922,299,9,13294.7,1,2,3,6,Lost
CUST02097,299,4,3788.31,1,1,1,3,Lost
CUST03268,299,8,12443.26,1,2,3,6,Lost
CUST01289,299,7,8952.4,1,1,2,4,Lost
CUST01197,299,7,10491.36,1,1,2,4,Lost
CUST00559,298,12,17217.7,1,4,4,9,Potential Loyalists
CUST00594,297,4,5919.84,1,1,1,3,Lost
CUST04914,297,7,7451.51,1,1,1,3,Lost
CUST02287,297,12,12531.86,1,4,3,8,Potential Loyalists
CUST00604,297,5,4063.25,1,1,1,3,Lost
CUST01792,296,8,12253.95,1,2,3,6,Lost
CUST04831,296,15,13488.48,1,5,3,9,Potential Loyalists
CUST04907,295,7,9926.1,1,1,2,4,Lost
CUST02246,295,10,11303.73,1,3,2,6,Lost
CUST01149,294,6,8190.66,1,1,1,3,Lost
CUST03893,293,5,8895.27,1,1,2,4,Lost
CUST04972,293,9,8135.07,1,2,1,4,Lost
CUST03751,293,11,13144.67,1,3,3,7,Potential Loyalists
CUST00272,292,6,7187.9,1,1,1,3,Lost
CUST01684,292,7,10220.75,1,2,2,5,Lost
CUST00354,292,9,11467.7,1,3,2,6,Lost
CUST00434,291,5,3853.98,1,1,1,3,Lost
CUST03906,291,11,19680.73,1,4,5,10,Loyal Customers
CUST00766,291,9,13514.3,1,2,3,6,Lost
CUST04347,291,3,3187.08,1,1,1,3,Lost
CUST02905,291,5,5999.04,1,1,1,3,Lost
CUST04113,290,10,14129.8,1,3,3,7,Potential Loyalists
CUST01606,290,4,4435.66,1,1,1,3,Lost
CUST03514,290,8,6337.05,1,2,1,4,Lost
CUST02677,290,6,4690.68,1,1,1,3,Lost
CUST03437,289,9,9406.16,1,2,2,5,Lost
CUST01681,289,10,16460.6,1,3,4,8,Potential Loyalists
CUST00951,289,7,9836.71,1,1,2,4,Lost
CUST03076,288,10,17598.97,1,3,4,8,Potential Loyalists
CUST01269,288,5,7128.11,1,1,1,3,Lost
CUST04356,288,9,14014.63,1,2,3,6,Lost
CUST04966,287,6,9487.7,1,1,2,4,Lost
CUST01365,286,10,10880.34,1,3,2,6,Lost
CUST03219,286,12,17912.49,1,4,4,9,Potential Loyalists
CUST03726,286,11,11006.14,1,4,2,7,Potential Loyalists
CUST02354,285,10,10018.7,1,3,2,6,Lost
CUST01722,285,8,10341.76,1,2,2,5,Lost
CUST02678,285,7,11968.7,1,2,3,6,Lost
CUST02862,285,10,21301.34,1,3,5,9,Potential Loyalists
CUST04190,284,5,3528.06,1,1,1,3,Lost
CUST02555,280,7,8346.2,1,1,1,3,Lost
CUST03310,280,10,13519.84,1,3,3,7,Potential Loyalists
CUST00967,279,6,5826.62,1,1,1,3,Lost
CUST02208,278,11,15653.41,1,4,4,9,Potential Loyalists
CUST03466,278,9,10689.65,1,3,2,6,Lost
CUST04064,277,8,10696.97,1,2,2,5,Lost
CUST02205,277,9,10500.21,1,3,2,6,Lost
CUST00575,277,7,7021.61,1,2,1,4,Lost
CUST04663,276,6,5606.56,1,1,1,3,Lost
CUST04036,276,11,12948.24,1,4,3,8,Potential Loyalists
CUST04790,276,8,11494.32,1,2,2,5,Lost
CUST04173,276,7,4884.53,1,1,1,3,Lost
CUST04892,276,14,9552.96,1,5,2,8,Potential Loyalists
CUST02455,276,13,9520.82,1,5,2,8,Potential Loyalists
CUST03238,275,9,13360.55,1,2,3,6,Lost
CUST00480,275,8,12402.23,1,2,3,6,Lost
CUST01935,275,10,15037.15,1,3,4,8,Potential Loyalists
CUST00976,275,5,3651.22,1,1,1,3,Lost
CUST00737,274,7,7618.45,1,1,1,3,Lost
CUST03979,274,7,6172.69,1,1,1,3,Lost
CUST01400,274,7,11040.27,1,1,2,4,Lost
CUST01002,274,6,11078.46,1,1,2,4,Lost
CUST04694,274,10,12767.6,1,3,3,7,Potential Loyalists
CUST00447,274,6,5432.29,1,1,1,3,Lost
CUST01661,273,11,15785.96,1,4,4,9,Potential Loyalists
CUST04189,273,6,7781.96,1,1,1,3,Lost
CUST03456,272,8,9560.8,1,2,2,5,Lost
CUST01598,272,5,4680.21,1,1,1,3,Lost
CUST01874,269,4,2085.19,1,1,1,3,Lost
CUST03436,269,13,23984.95,1,5,5,11,Loyal Customers
CUST03938,268,5,10688.86,1,1,2,4,Lost
CUST01876,267,9,13886.38,1,2,3,6,Lost
CUST01475,267,10,21917.72,1,3,5,9,Potential Loyalists
CUST04669,267,9,15136.72,1,3,4,8,Potential Loyalists
CUST01431,267,10,10750.97,1,3,2,6,Lost
CUST04121,267,5,7240.16,1,1,1,3,Lost
CUST04688,266,8,15007.74,1,2,4,7,Potential Loyalists
CUST00102,266,11,15855.19,1,4,4,9,Potential Loyalists
CUST03304,266,10,13753.26,1,3,3,7,Potential Loyalists
CUST03008,266,7,7176.9,1,2,1,4,Lost
CUST03910,265,8,13530.46,1,2,3,6,Lost
CUST01595,265,7,7772.07,1,1,1,3,Lost
CUST01513,264,10,21084.67,1,3,5,9,Potential Loyalists
CUST01791,264,6,9844.43,1,1,2,4,Lost
CUST00853,263,6,6544.96,1,1,1,3,Lost
CUST02836,263,8,12762.02,1,2,3,6,Lost
CUST00533,263,8,15363.01,1,2,4,7,Potential Loyalists
CUST03371,263,7,9877.21,1,1,2,4,Lost
CUST04013,263,7,6161.17,1,1,1,3,Lost
CUST02073,263,7,8138.29,1,1,1,3,Lost
CUST01850,263,2,2192.19,1,1,1,3,Lost
CUST00984,262,7,7396.32,1,2,1,4,Lost
CUST04904,262,11,17078.85,1,4,4,9,Potential Loyalists
CUST01523,262,5,9645.05,1,1,2,4,Lost
CUST02554,261,10,17286.82,1,3,4,8,Potential Loyalists
CUST04620,261,10,15575.78,1,3,4,8,Potential Loyalists
CUST02399,260,4,2374.05,1,1,1,3,Lost
CUST03800,260,9,13568.81,1,2,3,6,Lost
CUST03027,259,7,10129.03,1,2,2,5,Lost
CUST00429,259,7,5977.0,1,2,1,4,Lost
CUST03363,259,8,15455.55,1,2,4,7,Potential Loyalists
CUST02330,259,9,9992.39,1,2,2,5,Lost
CUST04492,258,8,15963.12,1,2,4,7,Potential Loyalists
CUST04823,258,10,20437.09,1,3,5,9,Potential Loyalists
CUST02332,258,9,19581.14,1,2,5,8,Potential Loyalists
CUST04147,257,8,14036.1,1,2,3,6,Lost
CUST03694,257,12,18336.34,1,4,5,10,Loyal Customers
CUST01064,256,14,22333.95,1,5,5,11,Loyal Customers
CUST00873,256,16,22405.61,1,5,5,11,Loyal Customers
CUST02491,256,5,6306.72,1,1,1,3,Lost
CUST00640,256,10,12502.96,1,3,3,7,Potential Loyalists
CUST04745,255,10,9259.01,1,3,2,6,Lost
CUST01116,255,12,19785.11,1,4,5,10,Loyal Customers
CUST00885,255,6,6036.45,1,1,1,3,Lost
CUST03740,255,5,4540.04,1,1,1,3,Lost
CUST03266,255,6,6560.72,1,1,1,3,Lost
CUST00174,254,10,18885.61,1,3,5,9,Potential Loyalists
CUST04759,253,10,10600.03,1,3,2,6,Lost
CUST02766,253,9,12477.58,1,3,3,7,Potential Loyalists
CUST00471,253,12,21270.94,1,4,5,10,Loyal Customers
CUST04348,252,9,14700.25,1,3,4,8,Potential Loyalists
CUST02541,252,8,9349.66,1,2,2,5,Lost
CUST00358,252,9,5167.11,1,3,1,5,Lost
CUST04049,252,6,7850.15,1,1,1,3,Lost
CUST01659,252,6,6520.25,1,1,1,3,Lost
CUST01073,252,7,9966.82,1,1,2,4,Lost
CUST03157,251,7,8521.23,1,1,1,3,Lost
CUST00473,251,5,9228.89,1,1,2,4,Lost
CUST04084,250,9,5865.47,1,2,1,4,Lost
CUST03003,250,4,4927.04,1,1,1,3,Lost
CUST02768,250,11,11015.55,1,4,2,7,Potential Loyalists
CUST03603,250,6,9122.65,1,1,2,4,Lost
CUST04948,249,6,6342.63,1,1,1,3,Lost
CUST04119,249,11,12477.52,1,4,3,8,Potential Loyalists
CUST01489,249,6,9025.75,1,1,2,4,Lost
CUST03712,249,8,9514.03,1,2,2,5,Lost
CUST02333,249,7,6846.5,1,1,1,3,Lost
CUST02227,249,15,13852.69,1,5,3,9,Potential Loyalists
CUST00750,249,12,12653.0,1,4,3,8,Potential Loyalists
CUST01543,249,9,12812.9,1,2,3,6,Lost
CUST02020,249,8,8587.01,1,2,1,4,Lost
CUST02056,248,6,6019.53,1,1,1,3,Lost
CUST01406,248,4,3239.75,1,1,1,3,Lost
CUST04880,248,12,15068.04,1,4,4,9,Potential Loyalists
CUST04090,247,6,8112.73,1,1,1,3,Lost
CUST04234,247,8,9186.49,1,2,2,5,Lost
CUST00356,247,9,11222.83,1,3,2,6,Lost
CUST02228,246,9,19253.43,1,2,5,8,Potential Loyalists
CUST04238,246,8,11107.38,1,2,2,5,Lost
CUST04947,246,4,4043.63,1,1,1,3,Lost
CUST01967,246,9,18018.08,1,2,4,7,Potential Loyalists
CUST02288,246,7,10147.26,1,2,2,5,Lost
CUST00107,246,11,11723.01,1,4,2,7,Potential Loyalists
CUST01666,245,4,3749.81,1,1,1,3,Lost
CUST02022,245,15,16060.68,1,5,4,10,Loyal Customers
CUST01429,245,5,2753.18,1,1,1,3,Lost
CUST01872,245,8,6016.79,1,2,1,4,Lost
CUST04409,245,6,8143.15,1,1,1,3,Lost
CUST04996,244,7,13649.12,1,1,3,5,Lost
CUST00420,244,11,13320.75,1,4,3,8,Potential Loyalists
CUST04788,244,9,10663.4,1,3,2,6,Lost
CUST03248,244,6,7531.61,1,1,1,3,Lost
CUST04449,243,8,11926.11,1,2,3,6,Lost
CUST01527,243,7,4455.62,1,2,1,4,Lost
CUST02103,242,8,11354.85,1,2,2,5,Lost
CUST00648,242,8,7452.55,1,2,1,4,Lost
CUST03145,242,8,9850.78,1,2,2,5,Lost
CUST00855,242,7,14230.09,1,1,3,5,Lost
CUST01568,241,7,4201.22,1,1,1,3,Lost
CUST02273,241,8,5390.09,1,2,1,4,Lost
CUST04097,241,6,10606.43,1,1,2,4,Lost
CUST02431,241,11,14696.45,1,4,4,9,Potential Loyalists
CUST00797,240,10,17166.48,1,3,4,8,Potential Loyalists
CUST01043,240,11,13632.06,1,4,3,8,Potential Loyalists
CUST02138,240,8,8229.41,1,2,1,4,Lost
CUST04188,240,10,6672.0,1,3,1,5,Lost
CUST00412,239,5,7326.65,1,1,1,3,Lost
CUST00862,239,10,12428.36,1,3,3,7,Potential Loyalists
CUST01140,239,12,23813.04,1,4,5,10,Loyal Customers
CUST00511,239,6,7778.48,1,1,1,3,Lost
CUST00764,239,18,22591.5,1,5,5,11,Loyal Customers
CUST02948,238,6,3080.5,1,1,1,3,Lost
CUST03992,238,3,1773.34,1,1,1,3,Lost
CUST03051,238,9,10626.3,1,3,2,6,Lost
CUST01059,238,5,9722.45,1,1,2,4,Lost
CUST02364,237,9,6232.33,1,2,1,4,Lost
CUST03963,237,8,6054.26,1,2,1,4,Lost
CUST04508,237,5,3038.4,1,1,1,3,Lost
CUST00990,237,9,12747.56,1,2,3,6,Lost
CUST04379,237,9,17338.32,1,2,4,7,Potential Loyalists
CUST02372,237,11,8672.64,1,4,1,6,Lost
CUST00692,237,9,11029.8,1,3,2,6,Lost
CUST03771,237,15,21351.64,1,5,5,11,Loyal Customers
CUST02710,237,8,14361.59,1,2,3,6,Lost
CUST00305,237,12,16529.39,1,4,4,9,Potential Loyalists
CUST03550,236,14,15081.82,1,5,4,10,Loyal Customers
CUST01087,236,7,6772.84,1,1,1,3,Lost
CUST04151,236,6,11732.95,1,1,2,4,Lost
CUST01418,235,13,18882.43,1,5,5,11,Loyal Customers
CUST03107,235,9,13663.1,1,2,3,6,Lost
CUST01509,235,5,5157.44,1,1,1,3,Lost
CUST03975,235,10,10524.99,1,3,2,6,Lost
CUST03743,234,6,6273.68,1,1,1,3,Lost
CUST00187,234,12,17422.98,1,4,4,9,Potential Loyalists
CUST04425,234,11,19244.77,1,4,5,10,Loyal Customers
CUST02741,234,10,12339.03,1,3,3,7,Potential Loyalists
CUST03601,234,7,16297.99,1,1,4,6,Lost
CUST04971,233,7,13725.6,1,1,3,5,Lost
CUST01389,232,7,10631.82,1,1,2,4,Lost
CUST04804,232,9,14538.69,1,3,3,7,Potential Loyalists
CUST01561,232,4,3073.63,1,1,1,3,Lost
CUST01528,231,12,13920.58,1,4,3,8,Potential Loyalists
CUST02282,231,8,8162.8,1,2,1,4,Lost
CUST03459,231,7,11108.75,1,2,2,5,Lost
CUST03314,231,7,9503.16,1,1,2,4,Lost
CUST04997,231,6,10414.15,1,1,2,4,Lost
CUST01066,231,10,16828.62,1,3,4,8,Potential Loyalists
CUST02438,230,8,10007.28,1,2,2,5,Lost
CUST00161,229,5,7673.68,1,1,1,3,Lost
CUST02875,229,9,10428.36,1,3,2,6,Lost
CUST02335,228,7,2870.74,1,1,1,3,Lost
CUST04209,228,5,6071.52,1,1,1,3,Lost
CUST02466,228,10,11702.25,1,3,2,6,Lost
CUST04422,228,8,9053.01,1,2,2,5,Lost
CUST00372,228,8,13756.13,1,2,3,6,Lost
CUST04120,228,8,10881.08,1,2,2,5,Lost
CUST01958,227,11,15191.62,1,4,4,9,Potential Loyalists
CUST01121,227,12,17348.9,1,4,4,9,Potential Loyalists
CUST02814,227,8,9149.05,1,2,2,5,Lost
CUST01688,227,14,15495.95,1,5,4,10,Loyal Customers
CUST04004,226,2,5867.13,1,1,1,3,Lost
CUST02980,226,4,5086.89,1,1,1,3,Lost
CUST00819,225,10,16413.35,1,3,4,8,Potential Loyalists
CUST04567,225,10,11099.73,1,3,2,6,Lost
CUST00288,225,6,9847.05,1,1,2,4,Lost
CUST03211,225,9,14097.31,1,2,3,6,Lost
CUST03597,225,12,22899.36,1,4,5,10,Loyal Customers
CUST01266,225,8,9760.86,1,2,2,5,Lost
CUST02361,224,6,12459.05,1,1,3,5,Lost
CUST03002,224,5,10436.57,1,1,2,4,Lost
CUST03348,224,8,10797.57,1,2,2,5,Lost
CUST00268,224,10,23977.29,1,3,5,9,Potential Loyalists
CUST00119,223,10,16320.97,1,3,4,8,Potential Loyalists
CUST03503,223,10,8899.25,1,3,2,6,Lost
CUST04260,223,8,10635.66,1,2,2,5,Lost
CUST02977,223,10,14258.17,1,3,3,7,Potential Loyalists
CUST02921,223,9,14047.77,1,2,3,6,Lost
CUST03549,221,16,25403.86,1,5,5,11,Loyal Customers
CUST02081,221,6,12475.92,1,1,3,5,Lost
CUST02653,221,9,10342.9,1,2,2,5,Lost
CUST01758,221,9,10108.91,1,2,2,5,Lost
CUST02849,221,5,7604.69,1,1,1,3,Lost
CUST01303,221,5,3390.94,1,1,1,3,Lost
CUST00196,221,5,7182.37,1,1,1,3,Lost
CUST02112,221,8,14233.95,1,2,3,6,Lost
CUST02178,220,8,11116.97,1,2,2,5,Lost
CUST02697,220,4,4550.52,1,1,1,3,Lost
CUST00748,220,12,15944.56,1,4,4,9,Potential Loyalists
CUST00224,220,3,2604.45,1,1,1,3,Lost
CUST00152,220,8,15079.94,1,2,4,7,Potential Loyalists
CUST03913,219,8,15402.74,1,2,4,7,Potential Loyalists
CUST02458,219,7,9776.33,1,1,2,4,Lost
CUST01846,219,4,6249.88,1,1,1,3,Lost
CUST03624,219,10,12745.91,1,3,3,7,Potential Loyalists
CUST01852,218,10,12403.48,1,3,3,7,Potential Loyalists
CUST04012,218,5,4482.85,1,1,1,3,Lost
CUST02567,218,8,14684.94,1,2,4,7,Potential Loyalists
CUST00484,217,6,11261.68,1,1,2,4,Lost
CUST00042,216,5,7346.91,1,1,1,3,Lost
CUST03596,216,12,11325.99,1,4,2,7,Potential Loyalists
CUST01324,216,9,17901.78,1,2,4,7,Potential Loyalists
CUST00790,216,8,12240.38,1,2,3,6,Lost
CUST00182,216,6,10037.59,1,1,2,4,Lost
CUST01314,215,7,6237.41,1,1,1,3,Lost
CUST02736,215,9,17276.77,1,2,4,7,Potential Loyalists
CUST04456,215,6,5496.03,1,1,1,3,Lost
CUST04482,215,4,5414.42,1,1,1,3,Lost
CUST01727,215,9,11103.03,1,3,2,6,Lost
CUST04894,214,6,7665.75,1,1,1,3,Lost
CUST00179,214,12,13633.88,1,4,3,8,Potential Loyalists
CUST01828,214,7,8702.54,1,1,1,3,Lost
CUST03193,214,8,9882.17,1,2,2,5,Lost
CUST04850,214,3,4068.05,1,1,1,3,Lost
CUST02831,213,9,16058.1,1,3,4,8,Potential Loyalists
CUST00934,213,11,21597.82,1,4,5,10,Loyal Customers
CUST04619,213,9,10576.11,1,3,2,6,Lost
CUST00561,213,9,10000.28,1,2,2,5,Lost
CUST02885,212,9,10471.71,1,3,2,6,Lost
CUST01415,212,9,9184.11,1,2,2,5,Lost
CUST01022,212,13,19774.33,1,4,5,10,Loyal Customers
CUST04197,212,11,14902.61,1,4,4,9,Potential Loyalists
CUST03260,212,12,18703.91,1,4,5,10,Loyal Customers
CUST02679,211,5,6952.07,1,1,1,3,Lost
CUST03213,211,5,6176.42,1,1,1,3,Lost
CUST04062,211,9,13527.26,1,2,3,6,Lost
CUST03512,211,11,15073.15,1,4,4,9,Potential Loyalists
CUST02936,211,3,5019.37,1,1,1,3,Lost
CUST00996,211,10,17893.68,1,3,4,8,Potential Loyalists
CUST01854,210,15,26860.18,1,5,5,11,Loyal Customers
CUST03326,210,8,7317.73,1,2,1,4,Lost
CUST00931,210,11,12694.93,1,4,3,8,Potential Loyalists
CUST00803,210,8,11998.96,1,2,3,6,Lost
CUST03764,210,8,13120.1,1,2,3,6,Lost
CUST03825,210,11,15320.08,1,4,4,9,Potential Loyalists
CUST02916,210,7,6966.13,1,2,1,4,Lost
CUST01226,210,8,13075.44,1,2,3,6,Lost
CUST03521,209,7,7770.16,1,1,1,3,Lost
