customer_id,cluster,cluster_name,recency,frequency,monetary
CUST00127,2,Potential Loyalists,13,10,11486.2
CUST00128,2,Potential Loyalists,96,11,10691.63
CUST00129,1,Low Spenders,59,7,13994.97
CUST00130,1,Low Spenders,98,8,6884.72
CUST00131,1,Low Spenders,4,8,9972.93
CUST00132,2,Potential Loyalists,51,10,13938.69
CUST00133,2,Potential Loyalists,1,12,16037.53
CUST00134,1,Low Spenders,52,8,12045.64
CUST00135,4,Lost Customers,197,11,20978.6
CUST00136,0,Champions,160,13,21236.13
CUST00137,2,Potential Loyalists,66,10,16597.85
CUST00138,1,Low Spenders,126,6,5216.86
CUST00139,0,Champions,61,13,17943.37
CUST00140,2,Potential Loyalists,28,9,13776.46
CUST00141,0,Champions,8,14,16317.48
CUST00142,1,Low Spenders,91,5,10360.73
CUST00143,1,Low Spenders,17,4,6176.4
CUST00144,1,Low Spenders,53,6,4869.9
CUST00145,1,Low Spenders,170,5,6940.63
CUST00146,2,Potential Loyalists,79,10,10622.91
CUST00147,2,Potential Loyalists,82,12,15504.51
CUST00148,2,Potential Loyalists,1,9,14121.14
CUST00149,0,Champions,45,13,19589.45
CUST00150,4,Lost Customers,169,11,15442.41
CUST00151,1,Low Spenders,47,9,10451.1
CUST00152,4,Lost Customers,220,8,15079.94
CUST00153,1,Low Spenders,57,9,10640.23
CUST00154,2,Potential Loyalists,18,10,14241.72
CUST00155,2,Potential Loyalists,26,11,13391.21
CUST00156,2,Potential Loyalists,0,12,14489.41
CUST00157,0,Champions,14,15,20565.9
CUST00158,0,Champions,111,15,26640.56
CUST00159,1,Low Spenders,36,5,4104.58
CUST00160,2,Potential Loyalists,45,13,12694.81
CUST00161,3,Lost Customers,229,5,7673.68
CUST00162,1,Low Spenders,25,9,10529.37
CUST00163,2,Potential Loyalists,90,14,11893.7
CUST00164,2,Potential Loyalists,6,10,14178.59
CUST00165,0,Champions,1,17,21800.69
CUST00166,0,Champions,36,14,26738.53
CUST00167,1,Low Spenders,95,8,13052.26
CUST00168,1,Low Spenders,25,2,3795.96
CUST00169,1,Low Spenders,23,2,6150.86
CUST00170,0,Champions,14,17,16463.32
CUST00171,0,Champions,26,15,28154.52
CUST00172,2,Potential Loyalists,12,9,14180.12
CUST00173,2,Potential Loyalists,23,8,12703.68
CUST00174,4,Lost Customers,254,10,18885.61
CUST00175,0,Champions,193,12,25211.09
CUST00176,2,Potential Loyalists,40,8,13709.14
CUST00177,0,Champions,10,14,17534.53
CUST00178,0,Champions,94,12,20192.16
CUST00179,4,Lost Customers,214,12,13633.88
CUST00180,4,Lost Customers,129,10,19636.15
CUST00181,2,Potential Loyalists,26,11,17442.94
CUST00182,4,Lost Customers,216,6,10037.59
CUST00183,1,Low Spenders,36,5,7741.63
CUST00184,1,Low Spenders,25,10,6894.34
CUST00185,2,Potential Loyalists,56,9,12067.43
CUST00186,2,Potential Loyalists,2,12,19084.24
CUST00187,4,Lost Customers,234,12,17422.98
CUST00188,0,Champions,108,15,22374.32
CUST00189,2,Potential Loyalists,12,13,13275.97
CUST00190,2,Potential Loyalists,53,11,14934.13
CUST00191,0,Champions,1,22,29652.79
CUST00192,0,Champions,68,16,23094.54
CUST00193,0,Champions,42,17,21757.71
CUST00194,2,Potential Loyalists,44,13,15928.87
CUST00195,4,Lost Customers,140,10,13325.56
CUST00196,3,Lost Customers,221,5,7182.37
CUST00197,1,Low Spenders,44,8,9150.13
CUST00198,0,Champions,85,13,25004.74
CUST00199,0,Champions,22,14,17907.68
CUST00200,1,Low Spenders,127,5,3504.75
CUST00201,2,Potential Loyalists,100,9,14851.33
CUST00202,4,Lost Customers,136,11,17226.3
CUST00203,1,Low Spenders,22,5,5485.94
CUST00204,2,Potential Loyalists,106,10,11282.49
CUST00205,3,Lost Customers,554,4,5941.6
CUST00206,1,Low Spenders,47,7,6683.44
CUST00207,2,Potential Loyalists,26,12,9942.55
CUST00208,2,Potential Loyalists,50,12,15673.67
CUST00209,1,Low Spenders,66,7,12595.61
CUST00210,2,Potential Loyalists,118,10,17041.41
CUST00211,1,Low Spenders,119,7,8205.27
CUST00212,4,Lost Customers,127,10,11817.46
CUST00213,2,Potential Loyalists,100,12,9590.09
CUST00214,1,Low Spenders,42,8,4900.28
CUST00215,0,Champions,39,16,22135.61
CUST00216,4,Lost Customers,186,10,9121.31
CUST00217,0,Champions,109,14,30648.47
CUST00218,1,Low Spenders,95,5,2125.65
CUST00219,1,Low Spenders,76,8,7162.77
CUST00220,0,Champions,1,16,20580.89
CUST00221,1,Low Spenders,57,7,13753.01
CUST00222,0,Champions,11,13,19354.3
CUST00223,2,Potential Loyalists,57,10,17872.0
CUST00224,3,Lost Customers,220,3,2604.45
CUST00225,4,Lost Customers,188,10,14083.98
CUST00226,0,Champions,53,15,21125.9
CUST00227,0,Champions,97,15,24945.62
CUST00228,3,Lost Customers,355,7,16176.12
CUST00229,2,Potential Loyalists,87,13,14757.76
CUST00230,1,Low Spenders,84,7,9973.94
CUST00231,2,Potential Loyalists,25,9,11922.43
CUST00232,2,Potential Loyalists,25,11,16331.42
CUST00233,3,Lost Customers,345,6,6542.19
CUST00234,1,Low Spenders,40,6,9202.19
CUST00235,4,Lost Customers,167,8,10679.54
CUST00236,2,Potential Loyalists,39,13,14216.84
CUST00237,4,Lost Customers,206,9,15113.5
CUST00238,0,Champions,49,13,19595.58
CUST00239,4,Lost Customers,159,10,14197.63
CUST00240,0,Champions,4,15,23448.58
CUST00241,0,Champions,31,16,27192.57
CUST00242,4,Lost Customers,199,8,10180.62
CUST00243,4,Lost Customers,202,11,18364.59
CUST00244,2,Potential Loyalists,42,9,18256.09
CUST00245,4,Lost Customers,195,7,8630.09
CUST00246,1,Low Spenders,176,8,6486.64
CUST00247,1,Low Spenders,7,8,8284.66
CUST00248,1,Low Spenders,55,8,4410.93
CUST00249,2,Potential Loyalists,67,10,13723.09
CUST00250,1,Low Spenders,142,9,6576.07
CUST00251,1,Low Spenders,22,9,9440.86
CUST00252,1,Low Spenders,15,7,4798.82
CUST00253,1,Low Spenders,31,7,5376.04
CUST00254,1,Low Spenders,110,6,10095.36
CUST00255,2,Potential Loyalists,28,9,13275.41
CUST00256,1,Low Spenders,48,8,6282.02
CUST00257,3,Lost Customers,516,6,7188.54
CUST00258,2,Potential Loyalists,103,12,12445.45
CUST00259,4,Lost Customers,193,12,18156.98
CUST00260,2,Potential Loyalists,13,12,16494.28
CUST00261,1,Low Spenders,66,5,6119.6
CUST00262,2,Potential Loyalists,99,9,11870.08
CUST00263,2,Potential Loyalists,39,11,14906.72
CUST00264,2,Potential Loyalists,35,10,18355.82
CUST00265,1,Low Spenders,17,8,4507.15
CUST00266,2,Potential Loyalists,81,9,13119.83
CUST00267,2,Potential Loyalists,21,11,14971.56
CUST00268,4,Lost Customers,224,10,23977.29
CUST00269,1,Low Spenders,13,7,11089.88
CUST00270,2,Potential Loyalists,59,13,13878.91
CUST00271,4,Lost Customers,151,10,18988.35
CUST00272,3,Lost Customers,292,6,7187.9
CUST00273,1,Low Spenders,33,9,7114.65
CUST00274,2,Potential Loyalists,68,12,15419.29
CUST00275,0,Champions,81,14,23609.25
CUST00276,2,Potential Loyalists,63,13,13414.45
CUST00277,2,Potential Loyalists,99,10,17674.95
CUST00278,0,Champions,111,16,33111.68
CUST00279,1,Low Spenders,16,7,4763.73
CUST00280,1,Low Spenders,169,4,6682.2
CUST00281,4,Lost Customers,179,7,10708.49
CUST00282,3,Lost Customers,316,3,7299.23
CUST00283,4,Lost Customers,160,9,12933.43
CUST00284,2,Potential Loyalists,9,12,12604.92
CUST00285,2,Potential Loyalists,90,10,11220.08
CUST00286,2,Potential Loyalists,80,13,10995.53
CUST00287,2,Potential Loyalists,42,11,14681.14
CUST00288,3,Lost Customers,225,6,9847.05
CUST00289,2,Potential Loyalists,24,12,14199.22
CUST00290,2,Potential Loyalists,68,8,15407.54
CUST00291,1,Low Spenders,89,5,4729.57
CUST00292,2,Potential Loyalists,9,9,12458.19
CUST00293,2,Potential Loyalists,1,9,14961.76
CUST00294,1,Low Spenders,136,7,8210.76
CUST00295,2,Potential Loyalists,10,10,15321.38
CUST00296,4,Lost Customers,124,9,16718.93
CUST00297,1,Low Spenders,100,8,11669.21
CUST00298,4,Lost Customers,168,12,17185.72
CUST00299,2,Potential Loyalists,8,11,13685.93
CUST00300,1,Low Spenders,143,6,6058.34
CUST00301,4,Lost Customers,137,9,14834.03
CUST00302,3,Lost Customers,313,3,6015.76
CUST00303,4,Lost Customers,124,9,12727.76
CUST00304,2,Potential Loyalists,62,12,16657.85
CUST00305,4,Lost Customers,237,12,16529.39
CUST00306,1,Low Spenders,106,7,6084.87
CUST00307,0,Champions,122,15,18140.48
CUST00308,1,Low Spenders,64,8,11385.39
CUST00309,1,Low Spenders,56,5,5600.16
CUST00310,4,Lost Customers,124,8,13747.97
CUST00311,2,Potential Loyalists,15,10,13652.09
CUST00312,2,Potential Loyalists,51,12,18731.33
CUST00313,1,Low Spenders,135,5,6465.36
CUST00314,4,Lost Customers,136,10,13024.47
CUST00315,2,Potential Loyalists,21,10,15936.32
CUST00316,3,Lost Customers,353,3,5068.35
CUST00317,0,Champions,26,12,21934.58
CUST00318,1,Low Spenders,95,7,13213.61
CUST00319,0,Champions,30,15,23868.92
CUST00320,1,Low Spenders,50,7,11290.17
CUST00321,2,Potential Loyalists,112,10,16488.16
CUST00322,1,Low Spenders,57,9,9215.27
CUST00323,2,Potential Loyalists,2,14,15323.11
CUST00324,2,Potential Loyalists,41,11,11330.36
CUST00325,1,Low Spenders,79,9,5692.71
CUST00326,2,Potential Loyalists,76,11,14624.04
CUST00327,4,Lost Customers,121,9,12564.58
CUST00328,2,Potential Loyalists,4,13,14037.01
CUST00329,2,Potential Loyalists,15,7,16098.42
CUST00330,1,Low Spenders,33,8,7606.23
CUST00331,2,Potential Loyalists,59,14,15606.08
CUST00332,1,Low Spenders,86,7,5344.29
CUST00333,3,Lost Customers,489,4,8043.3
CUST00334,2,Potential Loyalists,57,10,12885.62
CUST00335,1,Low Spenders,3,7,8807.78
CUST00336,2,Potential Loyalists,26,11,18415.82
CUST00337,2,Potential Loyalists,19,12,14879.57
CUST00338,2,Potential Loyalists,36,11,16831.04
CUST00339,1,Low Spenders,182,6,3261.36
CUST00340,1,Low Spenders,27,7,7884.8
CUST00341,2,Potential Loyalists,101,11,10372.22
CUST00342,4,Lost Customers,206,8,5994.3
CUST00343,2,Potential Loyalists,92,11,15247.5
CUST00344,4,Lost Customers,148,9,10166.41
CUST00345,2,Potential Loyalists,39,14,11086.73
CUST00346,2,Potential Loyalists,104,11,16901.04
CUST00347,4,Lost Customers,149,12,15601.89
CUST00348,1,Low Spenders,39,5,7745.57
CUST00349,1,Low Spenders,60,8,10218.34
CUST00350,1,Low Spenders,20,7,9853.93
CUST00351,1,Low Spenders,112,8,10022.95
CUST00352,4,Lost Customers,118,8,14286.66
CUST00353,2,Potential Loyalists,39,12,14506.52
CUST00354,4,Lost Customers,292,9,11467.7
CUST00355,0,Champions,142,11,21538.67
CUST00356,4,Lost Customers,247,9,11222.83
CUST00357,3,Lost Customers,396,6,6591.92
CUST00358,3,Lost Customers,252,9,5167.11
CUST00359,0,Champions,83,19,28799.14
CUST00360,2,Potential Loyalists,82,12,13806.84
CUST00361,2,Potential Loyalists,94,11,17029.65
CUST00362,1,Low Spenders,60,9,10418.89
CUST00363,2,Potential Loyalists,63,10,13963.69
CUST00364,0,Champions,55,12,23552.08
CUST00365,0,Champions,93,12,19268.35
CUST00366,2,Potential Loyalists,23,8,15437.05
CUST00367,2,Potential Loyalists,42,10,17249.74
CUST00368,2,Potential Loyalists,24,10,14724.04
CUST00369,1,Low Spenders,66,8,12417.63
CUST00370,2,Potential Loyalists,28,15,14084.02
CUST00371,1,Low Spenders,108,7,10070.3
CUST00372,4,Lost Customers,228,8,13756.13
CUST00373,2,Potential Loyalists,63,13,13857.45
CUST00374,4,Lost Customers,142,12,16558.1
CUST00375,4,Lost Customers,354,11,17117.03
CUST00376,1,Low Spenders,49,7,8473.39
CUST00377,1,Low Spenders,10,7,7660.08
CUST00378,3,Lost Customers,384,6,7945.18
CUST00379,0,Champions,17,12,24856.1
CUST00380,2,Potential Loyalists,21,10,15229.56
CUST00381,4,Lost Customers,112,10,10202.65
CUST00382,1,Low Spenders,124,6,7610.53
CUST00383,4,Lost Customers,117,10,15515.88
CUST00384,1,Low Spenders,62,9,9213.24
CUST00385,0,Champions,51,14,17675.17
CUST00386,2,Potential Loyalists,14,9,13221.54
CUST00387,2,Potential Loyalists,114,12,15961.31
CUST00388,2,Potential Loyalists,113,13,15790.28
CUST00389,0,Champions,3,14,19005.31
CUST00390,0,Champions,10,12,25188.08
CUST00391,1,Low Spenders,24,8,7556.88
CUST00392,4,Lost Customers,154,8,12820.12
CUST00393,4,Lost Customers,110,9,12620.93
CUST00394,2,Potential Loyalists,55,10,15785.54
CUST00395,1,Low Spenders,118,6,7888.94
CUST00396,2,Potential Loyalists,23,12,14142.98
CUST00397,1,Low Spenders,18,7,11783.2
CUST00398,1,Low Spenders,31,9,6592.83
CUST00399,1,Low Spenders,18,4,5856.53
CUST00400,2,Potential Loyalists,88,10,14712.56
CUST00401,2,Potential Loyalists,28,12,7868.17
CUST00402,3,Lost Customers,324,6,10575.59
CUST00403,1,Low Spenders,107,9,11030.47
CUST00404,4,Lost Customers,352,12,24809.19
CUST00405,2,Potential Loyalists,12,11,12848.27
CUST00406,1,Low Spenders,138,7,6795.21
CUST00407,0,Champions,60,12,19091.77
CUST00408,1,Low Spenders,6,7,6946.66
CUST00409,2,Potential Loyalists,51,10,13077.91
CUST00410,4,Lost Customers,145,10,18834.28
CUST00411,2,Potential Loyalists,53,10,13116.5
CUST00412,3,Lost Customers,239,5,7326.65
CUST00413,0,Champions,27,15,23540.1
CUST00414,1,Low Spenders,88,10,9432.46
CUST00415,1,Low Spenders,75,5,6456.03
CUST00416,1,Low Spenders,0,6,7736.99
CUST00417,4,Lost Customers,131,8,12592.38
CUST00418,0,Champions,29,17,19983.62
CUST00419,1,Low Spenders,27,9,9439.53
CUST00420,4,Lost Customers,244,11,13320.75
CUST00421,2,Potential Loyalists,36,13,15036.98
CUST00422,2,Potential Loyalists,2,11,14649.79
CUST00423,1,Low Spenders,151,7,10055.39
CUST00424,1,Low Spenders,36,7,4692.73
CUST00425,0,Champions,48,13,24053.51
CUST00426,1,Low Spenders,126,4,9353.28
CUST00427,0,Champions,20,13,18216.77
CUST00428,4,Lost Customers,139,13,13733.64
CUST00429,3,Lost Customers,259,7,5977.0
CUST00430,0,Champions,37,14,20576.81
CUST00431,1,Low Spenders,64,9,7752.33
CUST00432,2,Potential Loyalists,29,12,10582.43
CUST00433,4,Lost Customers,123,9,18279.73
CUST00434,3,Lost Customers,291,5,3853.98
CUST00435,1,Low Spenders,78,8,9321.95
CUST00436,4,Lost Customers,142,9,9879.2
CUST00437,2,Potential Loyalists,2,13,13425.56
CUST00438,0,Champions,61,20,26829.81
CUST00439,1,Low Spenders,150,7,6695.46
CUST00440,1,Low Spenders,21,8,12077.51
CUST00441,1,Low Spenders,24,8,10776.9
CUST00442,2,Potential Loyalists,7,9,11266.61
CUST00443,1,Low Spenders,148,6,8538.77
CUST00444,0,Champions,175,16,18768.58
CUST00445,3,Lost Customers,685,8,16229.29
CUST00446,0,Champions,139,15,15434.06
CUST00447,3,Lost Customers,274,6,5432.29
CUST00448,0,Champions,114,13,21191.36
CUST00449,0,Champions,16,14,19975.19
CUST00450,2,Potential Loyalists,89,10,10163.98
CUST00451,1,Low Spenders,11,9,7880.48
CUST00452,0,Champions,61,12,19043.12
CUST00453,3,Lost Customers,511,3,3006.61
CUST00454,0,Champions,21,19,19778.13
CUST00455,4,Lost Customers,196,9,11265.43
CUST00456,0,Champions,104,15,22658.87
CUST00457,2,Potential Loyalists,8,12,13201.85
CUST00458,2,Potential Loyalists,67,12,18486.22
CUST00459,0,Champions,75,12,20097.31
CUST00460,0,Champions,10,14,19734.02
CUST00461,2,Potential Loyalists,32,13,15824.41
CUST00462,1,Low Spenders,13,8,9528.9
CUST00463,2,Potential Loyalists,82,11,17438.57
CUST00464,2,Potential Loyalists,28,13,16164.33
CUST00465,0,Champions,86,17,20692.2
CUST00466,2,Potential Loyalists,14,13,11923.24
CUST00467,2,Potential Loyalists,96,11,18557.51
CUST00468,2,Potential Loyalists,119,12,11403.49
CUST00469,0,Champions,53,15,16113.51
CUST00470,2,Potential Loyalists,88,10,14532.09
CUST00471,4,Lost Customers,253,12,21270.94
CUST00472,2,Potential Loyalists,82,10,17284.78
CUST00473,3,Lost Customers,251,5,9228.89
CUST00474,1,Low Spenders,188,5,2457.43
CUST00475,2,Potential Loyalists,0,11,18421.32
CUST00476,1,Low Spenders,29,6,7537.41
CUST00477,0,Champions,17,16,19596.34
CUST00478,1,Low Spenders,15,4,6952.74
CUST00479,1,Low Spenders,12,7,11958.29
CUST00480,4,Lost Customers,275,8,12402.23
CUST00481,2,Potential Loyalists,26,10,12472.25
CUST00482,4,Lost Customers,134,10,17459.96
CUST00483,1,Low Spenders,151,4,6099.3
CUST00484,4,Lost Customers,217,6,11261.68
CUST00485,2,Potential Loyalists,42,9,15199.05
CUST00486,2,Potential Loyalists,58,10,11752.91
CUST00487,2,Potential Loyalists,11,11,13662.06
CUST00488,2,Potential Loyalists,22,10,10149.64
CUST00489,0,Champions,143,15,15900.11
CUST00490,1,Low Spenders,72,2,1584.12
CUST00491,2,Potential Loyalists,91,15,13568.96
CUST00492,1,Low Spenders,18,7,11945.42
CUST00493,2,Potential Loyalists,12,10,8432.61
CUST00494,2,Potential Loyalists,13,10,16475.8
CUST00495,0,Champions,1,15,16371.71
CUST00496,1,Low Spenders,79,9,7476.91
CUST00497,4,Lost Customers,197,7,10206.32
CUST00498,1,Low Spenders,83,9,11242.29
CUST00499,2,Potential Loyalists,7,10,10668.33
CUST00500,1,Low Spenders,82,3,3406.48
CUST00501,1,Low Spenders,128,7,11932.98
CUST00502,1,Low Spenders,144,6,8260.65
CUST00503,1,Low Spenders,91,7,9053.96
CUST00504,4,Lost Customers,177,13,11436.03
CUST00505,2,Potential Loyalists,65,13,16783.28
CUST00506,2,Potential Loyalists,0,10,9840.77
CUST00507,2,Potential Loyalists,12,11,15153.9
CUST00508,2,Potential Loyalists,67,11,12930.91
CUST00509,2,Potential Loyalists,24,12,15898.9
CUST00510,0,Champions,93,12,23832.55
CUST00511,3,Lost Customers,239,6,7778.48
CUST00512,2,Potential Loyalists,51,10,13998.73
CUST00513,0,Champions,43,14,16331.09
CUST00514,1,Low Spenders,4,8,10552.93
CUST00515,4,Lost Customers,191,9,9241.61
CUST00516,3,Lost Customers,352,7,9405.67
CUST00517,1,Low Spenders,114,5,1396.22
CUST00518,2,Potential Loyalists,62,14,12796.12
CUST00519,1,Low Spenders,21,7,10453.04
CUST00520,1,Low Spenders,51,7,13059.28
CUST00521,0,Champions,112,13,20148.85
CUST00522,2,Potential Loyalists,25,8,13054.01
CUST00523,1,Low Spenders,120,8,7229.9
CUST00524,1,Low Spenders,101,10,9560.62
CUST00525,2,Potential Loyalists,65,10,17585.44
CUST00526,1,Low Spenders,64,7,8064.16
CUST00527,4,Lost Customers,119,10,9823.04
CUST00528,0,Champions,177,13,19575.65
CUST00529,2,Potential Loyalists,23,8,16529.36
CUST00530,2,Potential Loyalists,39,9,11854.92
CUST00531,1,Low Spenders,124,7,10912.63
CUST00532,4,Lost Customers,109,9,12083.26
CUST00533,4,Lost Customers,263,8,15363.01
CUST00534,2,Potential Loyalists,5,10,10786.94
CUST00535,1,Low Spenders,89,5,5450.46
CUST00536,3,Lost Customers,504,9,12901.91
CUST00537,0,Champions,46,15,16880.8
CUST00538,0,Champions,45,12,19438.13
CUST00539,0,Champions,104,12,22122.51
CUST00540,2,Potential Loyalists,47,9,12380.5
CUST00541,2,Potential Loyalists,52,9,17328.43
CUST00542,1,Low Spenders,169,7,6989.3
CUST00543,0,Champions,111,11,21675.34
CUST00544,2,Potential Loyalists,90,11,14536.76
CUST00545,1,Low Spenders,5,7,7441.09
CUST00546,0,Champions,26,15,24644.45
CUST00547,4,Lost Customers,137,9,11138.96
CUST00548,1,Low Spenders,101,6,5807.96
CUST00549,2,Potential Loyalists,59,10,13800.47
CUST00550,2,Potential Loyalists,26,10,14674.64
CUST00551,1,Low Spenders,5,9,9990.11
CUST00552,2,Potential Loyalists,82,15,14057.21
CUST00553,2,Potential Loyalists,38,12,15346.53
CUST00554,1,Low Spenders,65,7,8293.56
CUST00555,2,Potential Loyalists,49,12,11683.75
CUST00556,1,Low Spenders,140,8,5696.39
CUST00557,4,Lost Customers,205,9,13771.46
CUST00558,2,Potential Loyalists,14,10,17794.39
CUST00559,4,Lost Customers,298,12,17217.7
CUST00560,1,Low Spenders,15,6,8185.82
CUST00561,4,Lost Customers,213,9,10000.28
CUST00562,2,Potential Loyalists,0,13,16686.72
CUST00563,0,Champions,22,14,16279.81
CUST00564,2,Potential Loyalists,30,9,12126.41
CUST00565,1,Low Spenders,22,7,12239.78
CUST00566,1,Low Spenders,149,6,5864.59
CUST00567,0,Champions,6,13,23414.62
CUST00568,4,Lost Customers,184,8,8005.34
CUST00569,1,Low Spenders,72,9,7374.75
CUST00570,2,Potential Loyalists,53,12,15770.11
CUST00571,4,Lost Customers,163,10,9020.65
CUST00572,1,Low Spenders,103,9,9178.99
CUST00573,1,Low Spenders,121,6,6360.02
CUST00574,0,Champions,14,15,17584.22
CUST00575,3,Lost Customers,277,7,7021.61
CUST00576,1,Low Spenders,100,9,7693.13
CUST00577,2,Potential Loyalists,13,13,12929.97
